Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2033,DROUGHT: Low Severity [Type],7658.140209,Normal,Iteration and Timestep,3829.070104
2034,DROUGHT: Low Severity [Type],8534.64623,Normal,Iteration and Timestep,4267.323115
2035,DROUGHT: Low Severity [Type],7853.902051,Normal,Iteration and Timestep,3926.951025
2036,DROUGHT: Low Severity [Type],6713.423132,Normal,Iteration and Timestep,3356.711566
2037,DROUGHT: Low Severity [Type],4490.707458,Normal,Iteration and Timestep,2245.353729
2038,DROUGHT: Low Severity [Type],6249.153179,Normal,Iteration and Timestep,3124.576589
2039,DROUGHT: Low Severity [Type],7615.369862,Normal,Iteration and Timestep,3807.684931
2040,DROUGHT: Low Severity [Type],6628.140382,Normal,Iteration and Timestep,3314.070191
2041,DROUGHT: Low Severity [Type],8049.500813,Normal,Iteration and Timestep,4024.750406
2042,DROUGHT: Low Severity [Type],10680.32378,Normal,Iteration and Timestep,5340.161892
2043,DROUGHT: Low Severity [Type],12181.63717,Normal,Iteration and Timestep,6090.818583
2044,DROUGHT: Low Severity [Type],10847.89018,Normal,Iteration and Timestep,5423.945091
2045,DROUGHT: Low Severity [Type],12177.47228,Normal,Iteration and Timestep,6088.736139
2046,DROUGHT: Low Severity [Type],6464.957196,Normal,Iteration and Timestep,3232.478598
2047,DROUGHT: Low Severity [Type],7078.641659,Normal,Iteration and Timestep,3539.32083
2048,DROUGHT: Low Severity [Type],5107.784493,Normal,Iteration and Timestep,2553.892246
2049,DROUGHT: Low Severity [Type],4729.906271,Normal,Iteration and Timestep,2364.953135
2050,DROUGHT: Low Severity [Type],4966.294254,Normal,Iteration and Timestep,2483.147127
2051,DROUGHT: Low Severity [Type],6748.557927,Normal,Iteration and Timestep,3374.278963
2052,DROUGHT: Low Severity [Type],8549.332786,Normal,Iteration and Timestep,4274.666393
2053,DROUGHT: Low Severity [Type],10112.98438,Normal,Iteration and Timestep,5056.492188
2054,DROUGHT: Low Severity [Type],9976.387258,Normal,Iteration and Timestep,4988.193629
2055,DROUGHT: Low Severity [Type],9157.9107,Normal,Iteration and Timestep,4578.95535
2056,DROUGHT: Low Severity [Type],13195.85614,Normal,Iteration and Timestep,6597.928068
2057,DROUGHT: Low Severity [Type],10498.54342,Normal,Iteration and Timestep,5249.271712
2058,DROUGHT: Low Severity [Type],10119.30862,Normal,Iteration and Timestep,5059.654311
2059,DROUGHT: Low Severity [Type],6685.732685,Normal,Iteration and Timestep,3342.866342
2060,DROUGHT: Low Severity [Type],4663.902828,Normal,Iteration and Timestep,2331.951414
2061,DROUGHT: Low Severity [Type],3341.155833,Normal,Iteration and Timestep,1670.577917
2062,DROUGHT: Low Severity [Type],3431.124323,Normal,Iteration and Timestep,1715.562162
2063,DROUGHT: Low Severity [Type],3357.00486,Normal,Iteration and Timestep,1678.50243
2064,DROUGHT: Low Severity [Type],4864.61057,Normal,Iteration and Timestep,2432.305285
2065,DROUGHT: Low Severity [Type],7973.816147,Normal,Iteration and Timestep,3986.908073
2066,DROUGHT: Low Severity [Type],6442.158312,Normal,Iteration and Timestep,3221.079156
2067,DROUGHT: Low Severity [Type],4432.463458,Normal,Iteration and Timestep,2216.231729
2068,DROUGHT: Low Severity [Type],3526.261554,Normal,Iteration and Timestep,1763.130777
2069,DROUGHT: Low Severity [Type],2821.91672,Normal,Iteration and Timestep,1410.95836
2070,DROUGHT: Low Severity [Type],2463.291823,Normal,Iteration and Timestep,1231.645912
2071,DROUGHT: Low Severity [Type],2627.06232,Normal,Iteration and Timestep,1313.53116
2072,DROUGHT: Low Severity [Type],4478.617061,Normal,Iteration and Timestep,2239.30853
2073,DROUGHT: Low Severity [Type],6877.527276,Normal,Iteration and Timestep,3438.763638
2074,DROUGHT: Low Severity [Type],7820.414757,Normal,Iteration and Timestep,3910.207378
2075,DROUGHT: Low Severity [Type],7969.946604,Normal,Iteration and Timestep,3984.973302
