Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2016,,San Mateo,,URBANIZATION,2.9767,,,,,
,2016,,Santa Barbara,,URBANIZATION,2.4978,,,,,
,2016,,Santa Clara,,URBANIZATION,11.0049,,,,,
,2016,,Santa Cruz,,URBANIZATION,1.4379,,,,,
,2016,,Shasta,,URBANIZATION,0,,,,,
,2016,,Sierra Valley,,URBANIZATION,0,,,,,
,2016,,Siskiyou,,URBANIZATION,0,,,,,
,2016,,Solano,,URBANIZATION,1.8628,,,,,
,2016,,Sonoma,,URBANIZATION,1.9136,,,,,
,2016,,Stanislaus,,URBANIZATION,2.9668,,,,,
,2016,,Sutter,,URBANIZATION,0.4317,,,,,
,2016,,Tehama,,URBANIZATION,0.1844,,,,,
,2016,,Trinity,,URBANIZATION,0,,,,,
,2016,,Tulare,,URBANIZATION,1.8505,,,,,
,2016,,Tuolumne,,URBANIZATION,0,,,,,
,2016,,Ventura,,URBANIZATION,2.6821,,,,,
,2016,,Yolo,,URBANIZATION,1.8464,,,,,
,2016,,Yuba,,URBANIZATION,0.3402,,,,,
,2017,,Alameda,,URBANIZATION,9.0758,,,,,
,2017,,Alpine,,URBANIZATION,0.0009,,,,,
,2017,,Amador,,URBANIZATION,0.0555,,,,,
,2017,,Butte,,URBANIZATION,0.9736,,,,,
,2017,,Calaveras,,URBANIZATION,0.0085,,,,,
,2017,,Colusa,,URBANIZATION,0.1762,,,,,
,2017,,Contra Costa,,URBANIZATION,8.4113,,,,,
,2017,,Del Norte,,URBANIZATION,0.0664,,,,,
,2017,,El Dorado,,URBANIZATION,0.5659,,,,,
,2017,,Fresno,,URBANIZATION,6.5079,,,,,
,2017,,Glenn,,URBANIZATION,0.1675,,,,,
,2017,,Humboldt,,URBANIZATION,0.3998,,,,,
,2017,,Imperial,,URBANIZATION,2.0038,,,,,
,2017,,Inyo,,URBANIZATION,0.065,,,,,
,2017,,Kern,,URBANIZATION,7.7344,,,,,
,2017,,Kings,,URBANIZATION,0.8277,,,,,
,2017,,Lake,,URBANIZATION,0.4524,,,,,
,2017,,Lassen,,URBANIZATION,0.063,,,,,
,2017,,Los Angeles,,URBANIZATION,17.7808,,,,,
,2017,,Madera,,URBANIZATION,0.7645,,,,,
,2017,,Marin,,URBANIZATION,0.8623,,,,,
,2017,,Mariposa,,URBANIZATION,0.0153,,,,,
,2017,,Mendocino,,URBANIZATION,0.1649,,,,,
,2017,,Merced,,URBANIZATION,1.7872,,,,,
,2017,,Modoc,,URBANIZATION,0.0169,,,,,
