Timestep,StockGroup,LULC,Mean,Lower,Upper
2011,DOM,Grassland,16.5,16.4,16.5
2011,DOM,Shrubland,29.2,29.1,29.2
2011,DOM,SnowIce,0,0,0
2011,DOM,Water,0,0,0
2011,DOM,Wetland,0,0,0.1
2011,Live,Agriculture,57.6,57,58.3
2011,Live,Barren,0,0,0
2011,Live,Developed,0.2,0.2,0.2
2011,Live,Forest,1599.7,1597.7,1602
2011,Live,Grassland,12.3,12.3,12.4
2011,Live,Shrubland,111,110.9,111.1
2011,Live,SnowIce,0,0,0
2011,Live,Water,0,0,0
2011,Live,Wetland,0.1,0.1,0.1
2011,Soil,Agriculture,396.8,395.7,397.9
2011,Soil,Barren,0,0,0
2011,Soil,Developed,7.8,7.4,8.3
2011,Soil,Forest,1513.8,1513.3,1514.3
2011,Soil,Grassland,352.7,351.9,353.4
2011,Soil,Shrubland,342.2,341.8,342.5
2011,Soil,SnowIce,0,0,0
2011,Soil,Water,0,0,0
2011,Soil,Wetland,1.6,1.2,2
2012,DOM,Agriculture,16.2,16.1,16.3
2012,DOM,Barren,0,0,0
2012,DOM,Developed,0,0,0
2012,DOM,Forest,334.7,334.2,335.2
2012,DOM,Grassland,14.2,14.2,14.2
2012,DOM,Shrubland,28.2,28.1,28.2
2012,DOM,SnowIce,0,0,0
2012,DOM,Water,0,0,0
2012,DOM,Wetland,0,0,0.1
2012,Live,Agriculture,58.4,57.6,59.2
2012,Live,Barren,0,0,0
2012,Live,Developed,0.2,0.2,0.2
2012,Live,Forest,1601.3,1599.2,1603.6
2012,Live,Grassland,12.8,12.7,12.8
2012,Live,Shrubland,109.2,109.1,109.3
2012,Live,SnowIce,0,0,0
2012,Live,Water,0,0,0
2012,Live,Wetland,0.1,0.1,0.1
2012,Soil,Agriculture,396.4,395.3,397.6
2012,Soil,Barren,0,0,0
2012,Soil,Developed,8.2,7.7,8.6
2012,Soil,Forest,1515,1514.5,1515.5
2012,Soil,Grassland,353.4,352.7,354.2
2012,Soil,Shrubland,342.1,341.8,342.5
2012,Soil,SnowIce,0,0,0
2012,Soil,Water,0,0,0
2012,Soil,Wetland,1.7,1.3,2.2
2013,DOM,Agriculture,15.7,15.6,15.8
2013,DOM,Barren,0,0,0
2013,DOM,Developed,0,0,0
2013,DOM,Forest,330.9,329.8,331.9
2013,DOM,Grassland,13.3,13.2,13.3
2013,DOM,Shrubland,27.7,27.6,27.7
2013,DOM,SnowIce,0,0,0
2013,DOM,Water,0,0,0
2013,DOM,Wetland,0,0,0.1
2013,Live,Agriculture,44,43,44.8
2013,Live,Barren,0,0,0
2013,Live,Developed,0.2,0.2,0.3
2013,Live,Forest,1547.4,1543.4,1551.5
2013,Live,Grassland,4.4,4.4,4.5
2013,Live,Shrubland,102.5,102.3,102.6
2013,Live,SnowIce,0,0,0
2013,Live,Water,0,0,0
2013,Live,Wetland,0.1,0.1,0.1
2013,Soil,Agriculture,395.8,394.4,397.2
2013,Soil,Barren,0,0,0
2013,Soil,Developed,9,8.4,9.6
2013,Soil,Forest,1514.8,1514.2,1515.4
2013,Soil,Grassland,353.1,351.9,354.1
2013,Soil,Shrubland,341.7,341.3,342.3
2013,Soil,SnowIce,0,0,0
2013,Soil,Water,0,0,0
2013,Soil,Wetland,1.8,1.4,2.3
2014,DOM,Agriculture,11,10.9,11.2
2014,DOM,Barren,0,0,0
2014,DOM,Developed,0,0,0
2014,DOM,Forest,320.5,319,321.9
2014,DOM,Grassland,8,7.9,8
2014,DOM,Shrubland,25.5,25.4,25.5
2014,DOM,SnowIce,0,0,0
2014,DOM,Water,0,0,0
2014,DOM,Wetland,0.1,0,0.1
2014,Live,Agriculture,51,50,52
2014,Live,Barren,0,0,0
2014,Live,Developed,0.3,0.2,0.3
2014,Live,Forest,1542,1536.4,1548.2
2014,Live,Grassland,11.6,11.6,11.7
2014,Live,Shrubland,100.9,100.7,101
2014,Live,SnowIce,0,0,0
2014,Live,Water,0,0,0
2014,Live,Wetland,0.1,0.1,0.1
2014,Soil,Agriculture,393.1,391.3,394.8
2014,Soil,Barren,0,0,0
2014,Soil,Developed,9.8,9.1,10.6
2014,Soil,Forest,1513.2,1512.5,1513.9
2014,Soil,Grassland,350,348.6,351.3
2014,Soil,Shrubland,341.1,340.5,341.7
2014,Soil,SnowIce,0,0,0
2014,Soil,Water,0,0,0
2014,Soil,Wetland,1.9,1.5,2.4
2015,DOM,Agriculture,11.3,11.1,11.4
2015,DOM,Barren,0,0,0
2015,DOM,Developed,0,0,0
2015,DOM,Forest,332,330.2,333.7
2015,DOM,Grassland,9.1,9,9.1
2015,DOM,Shrubland,24.5,24.5,24.6
2015,DOM,SnowIce,0,0,0
2015,DOM,Water,0,0,0
2015,DOM,Wetland,0.1,0,0.1
2015,Live,Agriculture,46.8,45.8,47.8
2015,Live,Barren,0,0,0
2015,Live,Developed,0.3,0.2,0.3
2015,Live,Forest,1504.7,1497.5,1512.6
2015,Live,Grassland,8.2,8.2,8.3
2015,Live,Shrubland,98.9,98.7,99.1
2015,Live,SnowIce,0,0,0
2015,Live,Water,0,0,0
2015,Live,Wetland,0.1,0.1,0.1
2015,Soil,Agriculture,390.2,388.1,392.3
2015,Soil,Barren,0,0,0
2015,Soil,Developed,10.7,9.7,11.5
2015,Soil,Forest,1509,1508.3,1509.8
2015,Soil,Grassland,347.7,346,349.3
2015,Soil,Shrubland,340,339.4,340.8
2015,Soil,SnowIce,0,0,0
2015,Soil,Water,0,0,0
2015,Soil,Wetland,2,1.6,2.5
2016,DOM,Agriculture,10.7,10.3,11.3
2016,DOM,Barren,0,0,0
2016,DOM,Developed,0,0,0
2016,DOM,Forest,368.4,365.3,372
2016,DOM,Grassland,8.9,8.6,9.2
2016,DOM,Shrubland,24.7,24.4,25.1
2016,DOM,SnowIce,0,0,0
2016,DOM,Water,0,0,0
2016,DOM,Wetland,0.1,0,0.1
2016,Live,Agriculture,56.1,44.6,64.1
2016,Live,Barren,0,0,0
