LUC,GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper
BAU,CanESM2,rcp45,High,0.001363884,2101,5072.738956082469,5037.2875613896795,5109.993129442138
BAU,CanESM2,rcp45,Low,2.72777e-4,2001,4823.131015209271,4823.131015209271,4823.131015209271
BAU,CanESM2,rcp45,Low,2.72777e-4,2002,4794.882171363219,4794.544419922119,4795.53712141326
BAU,CanESM2,rcp45,Low,2.72777e-4,2003,4787.550001512176,4787.078431350864,4788.439948372926
BAU,CanESM2,rcp45,Low,2.72777e-4,2004,4796.048903598465,4795.476902403057,4796.977831467636
BAU,CanESM2,rcp45,Low,2.72777e-4,2005,4838.083105324971,4837.4945356981125,4839.097910023535
BAU,CanESM2,rcp45,Low,2.72777e-4,2006,4842.565786769597,4841.8615634629205,4843.640812252509
BAU,CanESM2,rcp45,Low,2.72777e-4,2007,4791.369066254492,4790.561640714438,4792.207608138932
BAU,CanESM2,rcp45,Low,2.72777e-4,2008,4754.670751042499,4753.406126933879,4755.7413737059305
BAU,CanESM2,rcp45,Low,2.72777e-4,2009,4737.187884200659,4736.033895497951,4738.508073865914
BAU,CanESM2,rcp45,Low,2.72777e-4,2010,4801.239996214221,4799.741299604959,4802.38129548863
BAU,CanESM2,rcp45,Low,2.72777e-4,2011,4798.683592208231,4797.290028313834,4799.877969879819
BAU,CanESM2,rcp45,Low,2.72777e-4,2012,4792.248284415327,4790.519868051578,4793.410731586536
BAU,CanESM2,rcp45,Low,2.72777e-4,2013,4702.8246417923665,4701.419275352389,4704.382994633403
BAU,CanESM2,rcp45,Low,2.72777e-4,2014,4681.388093940422,4678.88689015612,4683.243915609863
BAU,CanESM2,rcp45,Low,2.72777e-4,2015,4633.58532620694,4630.83295993793,4636.346555224154
BAU,CanESM2,rcp45,Low,2.72777e-4,2016,4667.823699458289,4663.904817882962,4670.768590398301
BAU,CanESM2,rcp45,Low,2.72777e-4,2017,4617.841837137181,4611.326558887146,4626.237656578927
BAU,CanESM2,rcp45,Low,2.72777e-4,2018,4598.694935156112,4589.964476902722,4608.557187739292
BAU,CanESM2,rcp45,Low,2.72777e-4,2019,4634.633428093017,4626.935645014337,4643.214339906754
BAU,CanESM2,rcp45,Low,2.72777e-4,2020,4644.180109228338,4634.899916240507,4656.5056939185
BAU,CanESM2,rcp45,Low,2.72777e-4,2021,4657.661492195956,4650.691741734418,4669.369125718912
BAU,CanESM2,rcp45,Low,2.72777e-4,2022,4686.881584899513,4676.691745025492,4700.677808911386
BAU,CanESM2,rcp45,Low,2.72777e-4,2023,4680.821745826258,4668.894922887395,4697.010972251412
BAU,CanESM2,rcp45,Low,2.72777e-4,2024,4657.522762240978,4645.158965299565,4674.370879069759
BAU,CanESM2,rcp45,Low,2.72777e-4,2025,4691.228277236464,4680.089439626707,4709.5155580007095
BAU,CanESM2,rcp45,Low,2.72777e-4,2026,4686.460737449819,4673.745146992043,4706.558174157526
BAU,CanESM2,rcp45,Low,2.72777e-4,2027,4656.294434963677,4642.066193628435,4674.428031722473
BAU,CanESM2,rcp45,Low,2.72777e-4,2028,4650.852189067638,4635.606242790148,4671.155620480685
BAU,CanESM2,rcp45,Low,2.72777e-4,2029,4662.173923193038,4645.997484925019,4682.225251155577
BAU,CanESM2,rcp45,Low,2.72777e-4,2030,4671.664734499242,4651.988692152151,4687.18207747785
BAU,CanESM2,rcp45,Low,2.72777e-4,2031,4695.439892290122,4671.873631159586,4712.328557638068
BAU,CanESM2,rcp45,Low,2.72777e-4,2032,4648.031562330741,4625.344586635914,4665.331647229134
BAU,CanESM2,rcp45,Low,2.72777e-4,2033,4625.423052274995,4603.561714549075,4642.595930069046
BAU,CanESM2,rcp45,Low,2.72777e-4,2034,4640.659582877328,4621.183588426718,4658.108468407026
BAU,CanESM2,rcp45,Low,2.72777e-4,2035,4593.685096115316,4572.742966805431,4611.223100755587
BAU,CanESM2,rcp45,Low,2.72777e-4,2036,4593.563082120851,4571.816295553613,4612.7958764944515
BAU,CanESM2,rcp45,Low,2.72777e-4,2037,4551.997747690803,4531.092664246308,4574.777796752144
BAU,CanESM2,rcp45,Low,2.72777e-4,2038,4548.457887939273,4527.323340565785,4569.384492996156
BAU,CanESM2,rcp45,Low,2.72777e-4,2039,4554.779602993923,4532.325623406257,4575.5694924356
BAU,CanESM2,rcp45,Low,2.72777e-4,2040,4574.739952619627,4552.62699893644,4598.081888338832
BAU,CanESM2,rcp45,Low,2.72777e-4,2041,4624.24323931776,4603.268109734665,4648.359757370441
BAU,CanESM2,rcp45,Low,2.72777e-4,2042,4636.658735201875,4612.3511904536545,4660.482630011199
BAU,CanESM2,rcp45,Low,2.72777e-4,2043,4655.657744583893,4632.051457769762,4677.191073591934
BAU,CanESM2,rcp45,Low,2.72777e-4,2044,4639.278237055716,4610.6802015328185,4660.331231241291
BAU,CanESM2,rcp45,Low,2.72777e-4,2045,4623.163376307906,4597.108306004708,4644.96094348897
BAU,CanESM2,rcp45,Low,2.72777e-4,2046,4590.2056787367555,4563.190288412712,4612.35899300815
BAU,CanESM2,rcp45,Low,2.72777e-4,2047,4602.161560765214,4571.567652713747,4624.697774987641
BAU,CanESM2,rcp45,Low,2.72777e-4,2048,4580.934369249243,4551.540407688296,4605.815771282814
BAU,CanESM2,rcp45,Low,2.72777e-4,2049,4566.233127573269,4533.638916150973,4593.668828742134
BAU,CanESM2,rcp45,Low,2.72777e-4,2050,4540.43920595838,4507.676092213268,4568.712337181609
BAU,CanESM2,rcp45,Low,2.72777e-4,2051,4517.782700291236,4485.728134987611,4543.684179930843
BAU,CanESM2,rcp45,Low,2.72777e-4,2052,4519.1858564594695,4487.6722815136245,4544.679557831678
BAU,CanESM2,rcp45,Low,2.72777e-4,2053,4500.087316195707,4469.350605539967,4525.286676914522
BAU,CanESM2,rcp45,Low,2.72777e-4,2054,4502.231566101943,4469.961598770626,4527.82903557567
BAU,CanESM2,rcp45,Low,2.72777e-4,2055,4546.158824639334,4510.856873110954,4573.106850574446
BAU,CanESM2,rcp45,Low,2.72777e-4,2056,4590.5779312883415,4552.578354119583,4617.35220354439
BAU,CanESM2,rcp45,Low,2.72777e-4,2057,4552.590857419319,4518.015660129815,4579.498033417051
BAU,CanESM2,rcp45,Low,2.72777e-4,2058,4557.009417010615,4521.09720512366,4585.509762666142
BAU,CanESM2,rcp45,Low,2.72777e-4,2059,4508.756718758204,4471.99568086028,4536.975238851317
BAU,CanESM2,rcp45,Low,2.72777e-4,2060,4496.69878432046,4460.478120292167,4524.0500524512245
BAU,CanESM2,rcp45,Low,2.72777e-4,2061,4511.966574002119,4478.093222114326,4539.280529457071
BAU,CanESM2,rcp45,Low,2.72777e-4,2062,4499.355679071913,4466.741721903235,4525.245049539931
BAU,CanESM2,rcp45,Low,2.72777e-4,2063,4525.700860661691,4492.937159918798,4553.53596401315
BAU,CanESM2,rcp45,Low,2.72777e-4,2064,4560.302559582656,4527.443896511058,4592.018789238436
BAU,CanESM2,rcp45,Low,2.72777e-4,2065,4566.8287777412825,4535.234075405669,4598.651268099619
BAU,CanESM2,rcp45,Low,2.72777e-4,2066,4599.99208212135,4568.925605732616,4631.898439363852
BAU,CanESM2,rcp45,Low,2.72777e-4,2067,4598.848905982175,4571.303396137305,4630.582300956316
BAU,CanESM2,rcp45,Low,2.72777e-4,2068,4617.828469466563,4590.286437713223,4649.802646089474
BAU,CanESM2,rcp45,Low,2.72777e-4,2069,4544.4635835970275,4518.620321805892,4576.8523090060835
BAU,CanESM2,rcp45,Low,2.72777e-4,2070,4573.033219473973,4543.954424738303,4605.346875753318
BAU,CanESM2,rcp45,Low,2.72777e-4,2071,4576.163571899921,4544.553861918559,4608.792170204012
BAU,CanESM2,rcp45,Low,2.72777e-4,2072,4516.651115669863,4488.799665998547,4545.594888189249
BAU,CanESM2,rcp45,Low,2.72777e-4,2073,4498.328045007308,4471.698935110181,4523.54387694287
BAU,CanESM2,rcp45,Low,2.72777e-4,2074,4492.39634684806,4463.553070495757,4520.182147168597
BAU,CanESM2,rcp45,Low,2.72777e-4,2075,4530.207393608742,4500.700866877415,4557.239696009247
BAU,CanESM2,rcp45,Low,2.72777e-4,2076,4532.936379849336,4501.2510576313625,4559.017545779295
BAU,CanESM2,rcp45,Low,2.72777e-4,2077,4544.53661075926,4513.292132425987,4570.345474546953
BAU,CanESM2,rcp45,Low,2.72777e-4,2078,4611.737141087681,4577.240069600191,4639.361912722545
BAU,CanESM2,rcp45,Low,2.72777e-4,2079,4631.356567460746,4599.084416439273,4655.847783406536
BAU,CanESM2,rcp45,Low,2.72777e-4,2080,4576.58957779485,4547.932488775093,4605.738985046704
BAU,CanESM2,rcp45,Low,2.72777e-4,2081,4585.62795210236,4556.188496861833,4618.20103064539
BAU,CanESM2,rcp45,Low,2.72777e-4,2082,4628.2999581298145,4599.961709299766,4661.866700615164
BAU,CanESM2,rcp45,Low,2.72777e-4,2083,4566.115148313381,4536.788762913952,4592.766603770313
BAU,CanESM2,rcp45,Low,2.72777e-4,2084,4554.784915688246,4526.399922822575,4581.332837750865
BAU,CanESM2,rcp45,Low,2.72777e-4,2085,4588.135613138293,4560.456914321968,4618.61541328136
BAU,CanESM2,rcp45,Low,2.72777e-4,2086,4572.2425741699,4548.981268910213,4598.940867460083
BAU,CanESM2,rcp45,Low,2.72777e-4,2087,4624.74170078058,4598.846627425529,4652.339416453417
BAU,CanESM2,rcp45,Low,2.72777e-4,2088,4622.512840703693,4599.265767324698,4651.403611288724
BAU,CanESM2,rcp45,Low,2.72777e-4,2089,4608.958206422234,4586.616267323236,4636.7763292752825
BAU,CanESM2,rcp45,Low,2.72777e-4,2090,4543.745772632542,4517.59245966583,4569.532317499051
BAU,CanESM2,rcp45,Low,2.72777e-4,2091,4518.280795456949,4496.358987632565,4542.226772181511
BAU,CanESM2,rcp45,Low,2.72777e-4,2092,4545.30384129342,4523.16581631153,4568.591623816196
BAU,CanESM2,rcp45,Low,2.72777e-4,2093,4567.524211340502,4545.467659953045,4592.544546971178
BAU,CanESM2,rcp45,Low,2.72777e-4,2094,4561.522800456065,4537.749425008166,4586.781067021669
BAU,CanESM2,rcp45,Low,2.72777e-4,2095,4515.957597683222,4490.942905035591,4539.816125183994
BAU,CanESM2,rcp45,Low,2.72777e-4,2096,4481.368194718907,4451.769602050473,4507.092288109243
BAU,CanESM2,rcp45,Low,2.72777e-4,2097,4495.393071654596,4467.706134415278,4522.534235018782
BAU,CanESM2,rcp45,Low,2.72777e-4,2098,4534.41636486088,4505.571374502993,4563.100390334631
BAU,CanESM2,rcp45,Low,2.72777e-4,2099,4508.055442578039,4481.12552840088,4534.529211379672
BAU,CanESM2,rcp45,Low,2.72777e-4,2100,4500.228914880387,4473.00172339706,4531.733402722078
BAU,CanESM2,rcp45,Low,2.72777e-4,2101,4492.644116180163,4465.266015960912,4526.376777484573
BAU,CanESM2,rcp45,MedHigh,0.001091107,2001,4823.131015209271,4823.131015209271,4823.131015209271
BAU,CanESM2,rcp45,MedHigh,0.001091107,2002,4795.139506034171,4794.739835975879,4795.610940959572
BAU,CanESM2,rcp45,MedHigh,0.001091107,2003,4788.160065104382,4787.596153194566,4788.835248292879
BAU,CanESM2,rcp45,MedHigh,0.001091107,2004,4797.408557036096,4796.933228848814,4798.089705979844
BAU,CanESM2,rcp45,MedHigh,0.001091107,2005,4840.551505387566,4839.839002495271,4841.2261946342605
BAU,CanESM2,rcp45,MedHigh,0.001091107,2006,4846.296306135588,4845.23484724416,4847.230643345689
BAU,CanESM2,rcp45,MedHigh,0.001091107,2007,4795.9883665351845,4794.842193525565,4796.923361885532
BAU,CanESM2,rcp45,MedHigh,0.001091107,2008,4760.628759119405,4759.4668585879035,4761.941164977562
BAU,CanESM2,rcp45,MedHigh,0.001091107,2009,4744.3595226007365,4743.125250382332,4745.600806269214
BAU,CanESM2,rcp45,MedHigh,0.001091107,2010,4810.981797396421,4809.725431627896,4811.877610482617
BAU,CanESM2,rcp45,MedHigh,0.001091107,2011,4810.10546253525,4808.935944015113,4811.339223506586
BAU,CanESM2,rcp45,MedHigh,0.001091107,2012,4805.786239105825,4804.219981687729,4807.155865356943
BAU,CanESM2,rcp45,MedHigh,0.001091107,2013,4716.919991702848,4714.95708464247,4718.755579611842
BAU,CanESM2,rcp45,MedHigh,0.001091107,2014,4697.974580473639,4696.0448686891805,4700.33991364376
BAU,CanESM2,rcp45,MedHigh,0.001091107,2015,4651.696599182821,4649.402933356697,4654.717664374313
BAU,CanESM2,rcp45,MedHigh,0.001091107,2016,4689.270448200198,4686.2347708237885,4694.6637305726745
BAU,CanESM2,rcp45,MedHigh,0.001091107,2017,4641.963832963434,4635.1632865138135,4648.030928784416
BAU,CanESM2,rcp45,MedHigh,0.001091107,2018,4625.853192728761,4616.837712856176,4634.677268580995
BAU,CanESM2,rcp45,MedHigh,0.001091107,2019,4665.722829818267,4656.977419769745,4673.82594209183
BAU,CanESM2,rcp45,MedHigh,0.001091107,2020,4678.475476912564,4666.986257961681,4686.143898251597
BAU,CanESM2,rcp45,MedHigh,0.001091107,2021,4694.980767867156,4682.539163317897,4703.38792181404
BAU,CanESM2,rcp45,MedHigh,0.001091107,2022,4728.649093807652,4715.943949259655,4736.889792499462
BAU,CanESM2,rcp45,MedHigh,0.001091107,2023,4725.68411343938,4713.867074932844,4736.693312883375
BAU,CanESM2,rcp45,MedHigh,0.001091107,2024,4705.568768665027,4693.240475479463,4718.473669334871
BAU,CanESM2,rcp45,MedHigh,0.001091107,2025,4743.403098618486,4729.834158055152,4756.601590927251
BAU,CanESM2,rcp45,MedHigh,0.001091107,2026,4743.049615118181,4726.0080015127805,4759.518718673641
BAU,CanESM2,rcp45,MedHigh,0.001091107,2027,4715.380536878209,4698.9186924096575,4732.493347338334
BAU,CanESM2,rcp45,MedHigh,0.001091107,2028,4713.299973875028,4696.192023154733,4731.348045246355
BAU,CanESM2,rcp45,MedHigh,0.001091107,2029,4729.906919287382,4708.6203037997775,4749.49413891276
BAU,CanESM2,rcp45,MedHigh,0.001091107,2030,4744.978139822221,4721.459259454303,4765.261042740106
BAU,CanESM2,rcp45,MedHigh,0.001091107,2031,4775.750069082086,4752.764502086457,4800.129380459002
BAU,CanESM2,rcp45,MedHigh,0.001091107,2032,4729.94293637979,4704.280447504113,4755.543117927182
BAU,CanESM2,rcp45,MedHigh,0.001091107,2033,4709.566067748675,4684.326319365799,4734.96364730452
BAU,CanESM2,rcp45,MedHigh,0.001091107,2034,4730.803462649079,4707.750201692153,4757.987567809526
BAU,CanESM2,rcp45,MedHigh,0.001091107,2035,4686.00235468315,4664.671999129235,4716.107403393305
BAU,CanESM2,rcp45,MedHigh,0.001091107,2036,4691.107952834108,4667.582166052638,4718.399207468128
BAU,CanESM2,rcp45,MedHigh,0.001091107,2037,4651.088651856499,4624.901642662068,4677.3395409158165
BAU,CanESM2,rcp45,MedHigh,0.001091107,2038,4652.932218799493,4628.639523459624,4676.956227166707
BAU,CanESM2,rcp45,MedHigh,0.001091107,2039,4667.888684873888,4647.155925467183,4695.241406947051
BAU,CanESM2,rcp45,MedHigh,0.001091107,2040,4695.031587655272,4673.508038267255,4720.973970498424
BAU,CanESM2,rcp45,MedHigh,0.001091107,2041,4754.29106053721,4731.99271401462,4776.728253246358
BAU,CanESM2,rcp45,MedHigh,0.001091107,2042,4772.29131697188,4752.473202208837,4795.4548254155525
BAU,CanESM2,rcp45,MedHigh,0.001091107,2043,4799.001523868849,4776.194180930916,4821.398384086955
BAU,CanESM2,rcp45,MedHigh,0.001091107,2044,4788.459835524801,4767.119840784784,4808.731594462243
BAU,CanESM2,rcp45,MedHigh,0.001091107,2045,4776.387022050211,4757.127713574259,4795.331085939901
BAU,CanESM2,rcp45,MedHigh,0.001091107,2046,4747.891213517328,4724.601418777381,4767.871448866664
BAU,CanESM2,rcp45,MedHigh,0.001091107,2047,4766.260897210698,4743.214347725372,4791.361347818187
BAU,CanESM2,rcp45,MedHigh,0.001091107,2048,4749.511073796801,4722.965939537268,4776.4141138018995
BAU,CanESM2,rcp45,MedHigh,0.001091107,2049,4738.976604821096,4710.984818699261,4766.826213051164
BAU,CanESM2,rcp45,MedHigh,0.001091107,2050,4717.483606106271,4689.408495535841,4748.44611048486
BAU,CanESM2,rcp45,MedHigh,0.001091107,2051,4697.675080927431,4670.1336471491795,4729.46802372182
BAU,CanESM2,rcp45,MedHigh,0.001091107,2052,4706.724785276807,4676.667611869659,4735.95440367065
BAU,CanESM2,rcp45,MedHigh,0.001091107,2053,4691.117208537246,4656.969681533136,4717.428143327923
