GCM,RCP,Year,Mean,Mean5,Mean10,Variable
CanESM2-ES,rcp45,2031,749.2093671844926,630.1073713980052,618.9001952263618,Precipitation
CanESM2-ES,rcp85,2031,432.8002603279216,519.4305145238093,592.2446882567535,Precipitation
CNRM-CM5,rcp45,2031,1043.0364329812428,910.78269229227794,757.3883368224881,Precipitation
CNRM-CM5,rcp85,2031,684.9084812800601,754.0544188725556,713.9210497279622,Precipitation
HadGEM2-ES,rcp45,2031,602.7088843173459,533.8089860296001,535.8224953113191,Precipitation
HadGEM2-ES,rcp85,2031,884.1290899689709,777.588336335021,693.3757644990762,Precipitation
MIROC5,rcp45,2031,734.3475686533659,619.6449340625917,579.300629464016,Precipitation
MIROC5,rcp85,2031,645.1637647133102,547.2677356985607,590.7641446704282,Precipitation
CanESM2-ES,rcp45,2032,803.9714027730143,632.1239381180485,603.4193218734487,Precipitation
CanESM2-ES,rcp85,2032,449.3532775841769,570.1776467538301,591.0554054259194,Precipitation
CNRM-CM5,rcp45,2032,903.2197441236245,940.3711943820642,761.9522623845264,Precipitation
CNRM-CM5,rcp85,2032,621.8858104993801,658.7870398392703,679.5997293993678,Precipitation
HadGEM2-ES,rcp45,2032,605.0146487935983,559.3286898273551,550.0332590409279,Precipitation
HadGEM2-ES,rcp85,2032,479.0771193338496,803.7986351438774,686.4228737581117,Precipitation
MIROC5,rcp45,2032,589.6024120806899,596.4734470849467,581.1234661583952,Precipitation
MIROC5,rcp85,2032,501.61386338607883,548.223820354743,587.3383676094621,Precipitation
CanESM2-ES,rcp45,2033,442.3709835036207,626.5881752842913,575.6876721580867,Precipitation
CanESM2-ES,rcp85,2033,938.0559318867655,610.0914785590421,550.241178367371,Precipitation
CNRM-CM5,rcp45,2033,981.5358590810526,814.8965487040398,741.3563754809426,Precipitation
CNRM-CM5,rcp85,2033,857.9101108993405,653.6199556520002,710.1754639242165,Precipitation
HadGEM2-ES,rcp45,2033,634.4213912947333,531.1096601889359,547.9263088868629,Precipitation
HadGEM2-ES,rcp85,2033,732.9389221577323,703.1253264747019,684.8160298005877,Precipitation
MIROC5,rcp45,2033,826.3509161809418,613.8581919962685,592.9094936755336,Precipitation
MIROC5,rcp85,2033,540.0849831671866,573.0330353496189,561.7367836406951,Precipitation
CanESM2-ES,rcp45,2034,479.88447652024945,558.5461178394273,585.2214351875222,Precipitation
CanESM2-ES,rcp85,2034,578.972368188596,638.1502115444323,573.042013930348,Precipitation
CNRM-CM5,rcp45,2034,760.2630924508487,697.0360662945731,793.6197287984114,Precipitation
CNRM-CM5,rcp85,2034,498.10302560810914,633.5237190140922,672.1444039302653,Precipitation
HadGEM2-ES,rcp45,2034,400.59346726477446,512.333101670388,572.8071604812546,Precipitation
HadGEM2-ES,rcp85,2034,838.8484976452618,634.9499536325523,678.2725693860507,Precipitation
MIROC5,rcp45,2034,396.13005906641,542.575097918603,608.9772682976729,Precipitation
MIROC5,rcp85,2034,665.217911494461,558.5215366745011,541.0710264975231,Precipitation
CanESM2-ES,rcp45,2035,657.5046464400795,528.5613001791883,585.4199342148312,Precipitation
CanESM2-ES,rcp85,2035,651.275554807751,701.0303457876524,625.2999593758545,Precipitation
CNRM-CM5,rcp45,2035,386.42761488342984,661.0594265474554,774.1726351077456,Precipitation
CNRM-CM5,rcp85,2035,605.2923499731112,643.3938034411301,657.6206660972209,Precipitation
HadGEM2-ES,rcp45,2035,412.80990927422766,560.2969521062213,590.4258157814743,Precipitation
HadGEM2-ES,rcp85,2035,580.6330032676947,626.4407928465176,639.3336103665509,Precipitation
MIROC5,rcp45,2035,522.8600039999351,575.27537995034,595.5779725886827,Precipitation
MIROC5,rcp85,2035,513.0846539870577,577.0508914587332,552.0722916488635,Precipitation
CanESM2-ES,rcp45,2036,408.9990799601728,521.2679729181682,613.4946515149193,Precipitation
CanESM2-ES,rcp85,2036,573.0939252548723,581.0518422109327,647.3496740634534,Precipitation
CNRM-CM5,rcp45,2036,453.73402093390956,571.9300586696073,750.2577956701423,Precipitation
CNRM-CM5,rcp85,2036,584.4272980905204,666.2965089758773,678.171695459542,Precipitation
HadGEM2-ES,rcp45,2036,508.82609172460633,562.0436317441258,609.4050171948564,Precipitation
HadGEM2-ES,rcp85,2036,543.252225758223,592.0437232661542,592.1551205831712,Precipitation
MIROC5,rcp45,2036,377.9320982650381,566.1740532884754,577.4697513175169,Precipitation
MIROC5,rcp85,2036,572.6062713377215,576.2058315828293,553.3202598278535,Precipitation
CanESM2-ES,rcp45,2037,654.0473144718193,538.3189322569958,595.1657290718119,Precipitation
CanESM2-ES,rcp85,2037,763.7539488002776,575.906381106866,657.9561937197313,Precipitation
CNRM-CM5,rcp45,2037,723.3365453880363,646.8682632147586,754.1472437262004,Precipitation
CNRM-CM5,rcp85,2037,671.2362326345697,685.5017680212603,679.8413120272312,Precipitation
HadGEM2-ES,rcp45,2037,844.8339009727646,586.2856311351542,593.0419973717937,Precipitation
HadGEM2-ES,rcp85,2037,436.5313154036766,552.746503628224,586.4132293612922,Precipitation
MIROC5,rcp45,2037,753.1038222393753,621.4810895103991,597.7506955452176,Precipitation
MIROC5,rcp85,2037,594.2606373072392,533.9182326403032,560.0890683013313,Precipitation
CanESM2-ES,rcp45,2038,405.90434719852,544.2516931453712,625.7422507569679,Precipitation
CanESM2-ES,rcp85,2038,338.1634140031669,640.508440192667,654.0655481586157,Precipitation
CNRM-CM5,rcp45,2038,535.889019691812,733.4487215114515,730.5537518073978,Precipitation
CNRM-CM5,rcp85,2038,972.423638573076,661.6213765424417,643.7656911291535,Precipitation
HadGEM2-ES,rcp45,2038,643.1547894842558,649.7419713740126,575.5458753902165,Precipitation
HadGEM2-ES,rcp85,2038,560.9535742559151,575.5418942584001,603.3629928292863,Precipitation
MIROC5,rcp45,2038,780.8442828716185,577.2977531810968,608.2291585341377,Precipitation
MIROC5,rcp85,2038,535.8596837876673,531.1115479481081,579.9832705679457,Precipitation
CanESM2-ES,rcp45,2039,565.139273214388,668.4431851904112,630.9551305075054,Precipitation
CanESM2-ES,rcp85,2039,553.2450626682622,656.5491365824747,661.184340613768,Precipitation
CNRM-CM5,rcp45,2039,1134.9541151766055,803.4795250457116,723.1730353487434,Precipitation
CNRM-CM5,rcp85,2039,594.1293208350247,722.8196719049918,658.8312239986358,Precipitation
HadGEM2-ES,rcp45,2039,521.80346421991635,706.47693271932485,602.4931681012101,Precipitation
HadGEM2-ES,rcp85,2039,642.3623994556103,549.36028753379,573.3174065872422,Precipitation
MIROC5,rcp45,2039,672.6652401760286,612.3644047164307,602.8162459224793,Precipitation
MIROC5,rcp85,2039,453.77991678183037,548.1189829812059,549.4097473515851,Precipitation
CanESM2-ES,rcp45,2040,687.1684508819556,661.7701579644356,626.6176695978287,Precipitation
CanESM2-ES,rcp85,2040,974.2858502367559,614.8820416518104,685.6766442625055,Precipitation
CNRM-CM5,rcp45,2040,819.3299063668941,847.2350609049454,779.804865104237,Precipitation
CNRM-CM5,rcp85,2040,485.890392579018,716.2888206133323,685.274471549494,Precipitation
HadGEM2-ES,rcp45,2040,730.0916104685195,625.7870426373662,652.3642291466653,Precipitation
HadGEM2-ES,rcp85,2040,694.6099564185756,546.3856658760667,597.0712566484394,Precipitation
MIROC5,rcp45,2040,301.9433223534234,620.2260111400951,610.230941811812,Precipitation
MIROC5,rcp85,2040,499.05123052608207,543.1272451439295,542.3093393635892,Precipitation
CanESM2-ES,rcp45,2041,1029.9565401853731,730.2165285957677,640.5905031513056,Precipitation
CanESM2-ES,rcp85,2041,653.297407203911,727.0792541062985,680.3158722225504,Precipitation
CNRM-CM5,rcp45,2041,803.8880386052107,889.1774449451884,796.777525096056,Precipitation
CNRM-CM5,rcp85,2041,890.418774903271,621.2348732824298,720.7850233097644,Precipitation
HadGEM2-ES,rcp45,2041,792.5008984511677,589.0481190363071,652.1634824700842,Precipitation
HadGEM2-ES,rcp85,2041,412.3441921351724,614.6822623924185,588.3910222277525,Precipitation
MIROC5,rcp45,2041,553.265355941708,650.2842637798001,603.8224864461403,Precipitation
MIROC5,rcp85,2041,657.6434465032108,583.7607095530622,531.4962210321522,Precipitation
CanESM2-ES,rcp45,2042,620.6821783419416,723.5913287580149,639.2908798508429,Precipitation
CanESM2-ES,rcp85,2042,555.4184741469558,746.46230012067,669.5324387025307,Precipitation
CNRM-CM5,rcp45,2042,942.1142246842048,799.4778074827282,767.7180597342204,Precipitation
CNRM-CM5,rcp85,2042,638.5819761762717,632.1606799760112,694.8781266973581,Precipitation
HadGEM2-ES,rcp45,2042,441.38445056297155,618.7007050672661,641.5412136606678,Precipitation
HadGEM2-ES,rcp85,2042,421.6582071150602,593.8883095462606,587.8715641099735,Precipitation
MIROC5,rcp45,2042,792.4118543576974,584.1514023345596,575.4309378141795,Precipitation
MIROC5,rcp85,2042,569.3019481208567,564.9012620628669,519.1414955422467,Precipitation
CanESM2-ES,rcp45,2043,748.1362003551802,708.9836460502863,654.6719529256135,Precipitation
CanESM2-ES,rcp85,2043,899.1494762756082,730.8448483323441,700.8547534168584,Precipitation
CNRM-CM5,rcp45,2043,745.6009398930275,826.1610086970226,763.4812283970305,Precipitation
CNRM-CM5,rcp85,2043,497.153901918564,708.9275665565463,651.0901696196186,Precipitation
HadGEM2-ES,rcp45,2043,459.4601714789604,654.986486919318,644.4156482261977,Precipitation
HadGEM2-ES,rcp85,2043,902.4365568376737,618.6006190384787,582.4216836951342,Precipitation
MIROC5,rcp45,2043,931.135546070143,643.1641304425274,561.6826542481865,Precipitation
MIROC5,rcp85,2043,739.0270058333309,553.5071307790703,522.1432544151584,Precipitation
CanESM2-ES,rcp45,2044,532.013274025624,612.7378211122002,652.8851334110565,Precipitation
CanESM2-ES,rcp85,2044,650.1602927401193,704.0826078626262,700.6343463576761,Precipitation
CNRM-CM5,rcp45,2044,686.4559278643039,790.0755251464003,728.6458207701373,Precipitation
CNRM-CM5,rcp85,2044,648.7583543029315,718.7503747145367,644.6588978188322,Precipitation
HadGEM2-ES,rcp45,2044,670.0663943747112,597.8500322208437,639.3026108886276,Precipitation
HadGEM2-ES,rcp85,2044,538.392635224821,627.421756921715,556.2136240884515,Precipitation
MIROC5,rcp45,2044,342.00093294982616,595.2805681758497,592.4865776930034,Precipitation
MIROC5,rcp85,2044,359.4826793308541,514.8734590830984,539.4644008583984,Precipitation
CanESM2-ES,rcp45,2045,614.1300373433127,616.8116017372502,637.8875956755552,Precipitation
CanESM2-ES,rcp85,2045,896.1985912951264,724.1828357532512,683.5686811296314,Precipitation
CNRM-CM5,rcp45,2045,952.745912438366,688.2010585634955,753.7957293372946,Precipitation
CNRM-CM5,rcp85,2045,869.7248254816933,673.4674327813839,669.4585409319053,Precipitation
HadGEM2-ES,rcp45,2045,911.5205197287794,657.2953846839696,626.0503723226033,Precipitation
HadGEM2-ES,rcp85,2045,818.1715038796664,629.3574623438803,538.7665700133069,Precipitation
MIROC5,rcp45,2045,597.0069628932624,530.6358644882638,622.7302963969265,Precipitation
MIROC5,rcp85,2045,442.08057410709864,495.1557459405639,538.0933322419999,Precipitation
CanESM2-ES,rcp45,2046,548.7274154949423,579.1273772554592,590.9538480417216,Precipitation
CanESM2-ES,rcp85,2046,519.4862048553211,674.6302527274182,662.999612010656,Precipitation
CNRM-CM5,rcp45,2046,623.4606208520989,637.7850118488725,735.5129049790276,Precipitation
CNRM-CM5,rcp85,2046,939.5328156932233,680.9454659568073,672.2309301299645,Precipitation
HadGEM2-ES,rcp45,2046,506.81862495879597,699.7831774160884,593.015809145747,Precipitation
HadGEM2-ES,rcp85,2046,456.44988155135337,550.16110499785,538.5136507435506,Precipitation
MIROC5,rcp45,2046,313.8475446083194,473.08104471657305,610.5532769730673,Precipitation
MIROC5,rcp85,2046,464.4750880233517,460.52579927725463,511.28146507875476,Precipitation
CanESM2-ES,rcp45,2047,641.0510814671914,582.1789380640979,582.2845380902361,Precipitation
CanESM2-ES,rcp85,2047,655.9196136000811,654.8063925946822,686.7841151835094,Precipitation
CNRM-CM5,rcp45,2047,432.7418917696811,657.8138340575465,690.7686129719857,Precipitation
CNRM-CM5,rcp85,2047,412.1672665105072,657.1571156616533,696.0115019123776,Precipitation
HadGEM2-ES,rcp45,2047,738.6112128786008,659.9045167099889,604.3182018875027,Precipitation
HadGEM2-ES,rcp85,2047,431.33673422588714,518.5389386306425,544.7215161916404,Precipitation
MIROC5,rcp45,2047,469.18833591976806,600.8217530514472,570.722706572241,Precipitation
MIROC5,rcp85,2047,470.71338240818426,514.0275396539299,502.36736327798235,Precipitation
CanESM2-ES,rcp45,2048,559.7150779462257,566.791545300824,578.5776873663818,Precipitation
CanESM2-ES,rcp85,2048,651.3865611464432,636.2925139269186,691.9725427017976,Precipitation
CNRM-CM5,rcp45,2048,493.5207063199122,681.4304499775666,672.9182435453939,Precipitation
CNRM-CM5,rcp85,2048,534.5440677956814,629.9895153072641,748.9936905920836,Precipitation
HadGEM2-ES,rcp45,2048,671.8991351395546,597.1142577258886,596.3964732881781,Precipitation
HadGEM2-ES,rcp85,2048,506.45477010752205,458.93252098813514,523.0588173598045,Precipitation
MIROC5,rcp45,2048,643.3614472116891,602.2964623513258,518.4462923835274,Precipitation
MIROC5,rcp85,2048,565.8772725167845,522.6795337049296,469.13901364462896,Precipitation
CanESM2-ES,rcp45,2049,547.2710780688178,569.169874971243,617.0193911699074,Precipitation
CanESM2-ES,rcp85,2049,551.040992076439,621.9166161586861,720.3990895917402,Precipitation
CNRM-CM5,rcp45,2049,786.6000389076744,680.9502848116549,725.7939068543728,Precipitation
CNRM-CM5,rcp85,2049,529.8166028271615,625.711485545392,789.1618456815288,Precipitation
HadGEM2-ES,rcp45,2049,470.67309084421413,588.1815860706502,568.9644013626554,Precipitation
HadGEM2-ES,rcp85,2049,380.28180338878366,449.6055445653862,547.8744515410875,Precipitation
MIROC5,rcp45,2049,980.7044746241971,625.8259857702849,544.4138387347182,Precipitation
MIROC5,rcp85,2049,626.9913812142307,507.6894710744111,524.9867105538002,Precipitation
CanESM2-ES,rcp45,2050,537.193073526943,547.7574744432221,657.3109163873036,Precipitation
CanESM2-ES,rcp85,2050,803.6291979563088,649.3853946137675,738.4736010857292,Precipitation
CNRM-CM5,rcp45,2050,1070.8289920384664,693.3361673804759,739.7272258047345,Precipitation
CNRM-CM5,rcp85,2050,733.8868237097475,718.5555710433714,783.1835453822197,Precipitation
HadGEM2-ES,rcp45,2050,597.5692248082775,551.3410190910358,533.9698364435856,Precipitation
HadGEM2-ES,rcp85,2050,520.1394156671294,460.08557003940047,513.8233427562861,Precipitation
MIROC5,rcp45,2050,604.3805093926549,610.8095486562181,557.1217346386691,Precipitation
MIROC5,rcp85,2050,485.3405443620967,509.57898061540084,566.2562679755121,Precipitation
CanESM2-ES,rcp45,2051,560.6190638470368,578.0279974773044,648.7055791404827,Precipitation
CanESM2-ES,rcp85,2051,447.6067160141585,709.3148326761768,763.3970458110983,Precipitation
CNRM-CM5,rcp45,2051,621.0597950225405,708.0514752419156,729.3395465463902,Precipitation
CNRM-CM5,rcp85,2051,918.1426668838624,817.0419152273598,763.7853342109509,Precipitation
HadGEM2-ES,rcp45,2051,462.1552666826037,493.00976916026775,535.6266930311563,Precipitation
HadGEM2-ES,rcp85,2051,409.8149994376088,495.956529721759,505.7111447337587,Precipitation
MIROC5,rcp45,2051,431.4951617031155,563.8115400504819,569.8748707087399,Precipitation
MIROC5,rcp85,2051,389.5247748707593,477.7522280120033,555.1922428367444,Precipitation
CanESM2-ES,rcp45,2052,533.9890788270873,651.8598442757169,676.1164181419914,Precipitation
