GCM,RCP,Year,Mean,Mean5,Mean10,Variable
CNRM-CM5,rcp45,2057,16.408740025600896,16.013084238528812,15.852059069985728,Mean Annual Temperature
CNRM-CM5,rcp85,2057,16.850298882582962,16.92650014346863,17.044747596820656,Mean Annual Temperature
HadGEM2-ES,rcp45,2057,16.485401642044657,16.303695172125362,16.56698286101176,Mean Annual Temperature
HadGEM2-ES,rcp85,2057,18.577057142249757,17.844046202133754,17.95101235011136,Mean Annual Temperature
MIROC5,rcp45,2057,15.558527498269145,15.779473990531033,15.815856476064463,Mean Annual Temperature
MIROC5,rcp85,2057,17.064724731287686,16.41793576008638,16.287734108423273,Mean Annual Temperature
CanESM2-ES,rcp45,2058,16.46093037177517,16.631772483901436,16.563768062419665,Mean Annual Temperature
CanESM2-ES,rcp85,2058,17.14337436996136,17.507610085574196,17.65797759314142,Mean Annual Temperature
CNRM-CM5,rcp45,2058,15.83107175256239,15.905169558068797,15.901895028654724,Mean Annual Temperature
CNRM-CM5,rcp85,2058,17.125389953157654,16.82807294841168,17.10891047577304,Mean Annual Temperature
HadGEM2-ES,rcp45,2058,16.416861138899446,16.487820270281308,16.544202050036642,Mean Annual Temperature
HadGEM2-ES,rcp85,2058,17.449418585653095,17.801244936356813,17.935645018985777,Mean Annual Temperature
MIROC5,rcp45,2058,15.658141826667398,15.960718875291203,15.868253629879971,Mean Annual Temperature
MIROC5,rcp85,2058,16.27891465913342,16.518563131995144,16.39104393961361,Mean Annual Temperature
CanESM2-ES,rcp45,2059,16.9194060076247,16.60844412928619,16.54509582181076,Mean Annual Temperature
CanESM2-ES,rcp85,2059,17.5507613168041,17.434639162978783,17.671935971775962,Mean Annual Temperature
CNRM-CM5,rcp45,2059,16.208262932364107,16.03578454679564,15.98064842247014,Mean Annual Temperature
CNRM-CM5,rcp85,2059,17.270478849186112,17.13503106727942,17.17619140989705,Mean Annual Temperature
HadGEM2-ES,rcp45,2059,17.31218467964698,16.72607661406173,16.48903267683317,Mean Annual Temperature
HadGEM2-ES,rcp85,2059,18.36547357248401,18.116257342911968,18.07457513734353,Mean Annual Temperature
MIROC5,rcp45,2059,16.133356695727112,15.790240328351794,15.872726971000624,Mean Annual Temperature
MIROC5,rcp85,2059,16.463193749205345,16.499995037040456,16.48265624796569,Mean Annual Temperature
CanESM2-ES,rcp45,2060,16.435705576165045,16.4790986719247,16.529312113452924,Mean Annual Temperature
CanESM2-ES,rcp85,2060,17.046554179170773,17.63456711520884,17.728584664661387,Mean Annual Temperature
CNRM-CM5,rcp45,2060,15.883047547824612,15.853352088729173,15.97232299225731,Mean Annual Temperature
CNRM-CM5,rcp85,2060,16.826978995198402,17.24727481133837,17.0843201796524,Mean Annual Temperature
HadGEM2-ES,rcp45,2060,16.28427190941443,16.76614830115738,16.620543930780563,Mean Annual Temperature
HadGEM2-ES,rcp85,2060,17.715638081785904,18.050533137672915,18.156956703920248,Mean Annual Temperature
MIROC5,rcp45,2060,16.05247009498844,16.0076320595137,16.031810994521237,Mean Annual Temperature
MIROC5,rcp85,2060,16.400290599136504,16.32785755209041,16.595668751675152,Mean Annual Temperature
CanESM2-ES,rcp45,2061,16.37267437746154,16.493352819051832,16.556203475432774,Mean Annual Temperature
CanESM2-ES,rcp85,2061,17.779679504223537,17.659403035611753,17.702871359803584,Mean Annual Temperature
CNRM-CM5,rcp45,2061,15.847800475626201,15.937778539441561,16.01850667414364,Mean Annual Temperature
CNRM-CM5,rcp85,2061,17.602008656271973,17.37710302817917,17.271057677956172,Mean Annual Temperature
HadGEM2-ES,rcp45,2061,17.131663700303132,16.816345346352044,16.71309209043369,Mean Annual Temperature
HadGEM2-ES,rcp85,2061,18.473699332387078,18.20039607218648,18.242220566666198,Mean Annual Temperature
MIROC5,rcp45,2061,15.548705526106874,16.008083405875308,16.017287429362252,Mean Annual Temperature
MIROC5,rcp85,2061,16.292851446439318,16.40855543197088,16.605393308218332,Mean Annual Temperature
CanESM2-ES,rcp45,2062,16.206777026597056,16.42263536622155,16.51897466513384,Mean Annual Temperature
CanESM2-ES,rcp85,2062,18.652466205884416,17.74467363426514,17.718215594048047,Mean Annual Temperature
CNRM-CM5,rcp45,2062,15.496577735268565,15.948212606411465,16.040567604031757,Mean Annual Temperature
CNRM-CM5,rcp85,2062,17.41151760287771,17.425882676325475,17.289031833936143,Mean Annual Temperature
HadGEM2-ES,rcp45,2062,16.685760077522914,16.67437018154098,16.785959185733525,Mean Annual Temperature
HadGEM2-ES,rcp85,2062,18.248436116054485,18.30510407255331,18.284347347368396,Mean Annual Temperature
MIROC5,rcp45,2062,16.64548615407868,15.965979951470217,16.15917460400382,Mean Annual Temperature
MIROC5,rcp85,2062,16.204037306537458,16.547376735845003,16.6414389660479,Mean Annual Temperature
CanESM2-ES,rcp45,2063,16.532201107410827,16.426851743004413,16.493065214527967,Mean Annual Temperature
CanESM2-ES,rcp85,2063,17.267553971975936,17.949559243748574,17.826784512976758,Mean Annual Temperature
CNRM-CM5,rcp45,2063,16.253204006124328,16.03947642644582,16.083655139933327,Mean Annual Temperature
CNRM-CM5,rcp85,2063,17.77453103736164,17.340567410893126,17.31375326035026,Mean Annual Temperature
HadGEM2-ES,rcp45,2063,16.66784636487277,16.753267591279815,16.777410510007016,Mean Annual Temperature
HadGEM2-ES,rcp85,2063,18.19873325822092,18.512668471483686,18.397873483364496,Mean Annual Temperature
MIROC5,rcp45,2063,15.66039855847543,16.102903113751275,16.117608741357778,Mean Annual Temperature
MIROC5,rcp85,2063,16.682404058535774,16.67277437135516,16.687993544646897,Mean Annual Temperature
CanESM2-ES,rcp45,2064,16.565818743473294,16.503962821579353,16.555586013855716,Mean Annual Temperature
CanESM2-ES,rcp85,2064,17.977114310071045,17.971103556628385,17.778659498276706,Mean Annual Temperature
CNRM-CM5,rcp45,2064,16.26043326721363,16.001228801491642,16.077599285143208,Mean Annual Temperature
CNRM-CM5,rcp85,2064,17.514377089917648,17.407084288632923,17.3578932820787,Mean Annual Temperature
HadGEM2-ES,rcp45,2064,16.602308855591644,16.70010756680565,16.784900738843984,Mean Annual Temperature
HadGEM2-ES,rcp85,2064,18.88901357431816,18.36818379042043,18.349195315826535,Mean Annual Temperature
MIROC5,rcp45,2064,15.922839423701664,16.24433453037271,16.028248542227118,Mean Annual Temperature
MIROC5,rcp85,2064,17.157300268575952,16.71079157939621,16.738396620019884,Mean Annual Temperature
CanESM2-ES,rcp45,2065,16.456787460079358,16.55885065834298,16.56580358398622,Mean Annual Temperature
CanESM2-ES,rcp85,2065,18.070982226587926,17.80186407288726,17.871648978131297,Mean Annual Temperature
CNRM-CM5,rcp45,2065,16.33936664799638,16.227783119334344,16.094233804788388,Mean Annual Temperature
CNRM-CM5,rcp85,2065,16.40040266803665,17.33078885653392,17.386872209358238,Mean Annual Temperature
