GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper,Flux,Source
CanESM2,rcp85,MedHigh,0.001091107,2094,236.65928650209847,235.37763295133868,238.36417085826548,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2095,270.96596811731513,269.7361799935873,273.38098804806424,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2096,137.3900534387106,136.57866763589746,138.1855187504811,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2097,240.1475500211607,238.74501687374791,241.8781835652793,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2098,316.5702662366985,314.32164195753273,318.7947288638848,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2099,332.43593216439194,330.02090353559515,334.61304459300834,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2100,346.33010264345705,343.25854767721034,348.38519945942153,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2101,345.4605576492246,342.9115791402363,347.07639091562385,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2002,136.40150331378786,136.40150331378786,136.40150331378786,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2003,156.59756714922452,156.5474445360976,156.66043303181914,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2004,166.76668855976675,166.67593434948722,166.85635672150283,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2005,200.0528870138522,199.94031263212392,200.1857032948032,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2006,170.61314078793643,170.49426378836728,170.75155857632325,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2007,109.84225500069647,109.79097894250694,109.91188926716768,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2008,140.88908345487295,140.8004905697556,140.99538400030053,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2009,135.38219031707453,135.27475737336596,135.5087244601051,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2010,214.3637683000702,214.22714118976532,214.53080532525797,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2011,148.15331595334115,148.0284967030319,148.32320934523875,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2012,160.21216382496584,160.05108414025418,160.38948058648245,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2013,65.63463528813932,65.58410287460543,65.70180375652285,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2014,147.17799179104495,147.05678432027685,147.3408067753967,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2015,117.39402537822414,117.29764813576475,117.50425914600812,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2016,110.30465515913072,110.19153441659988,110.46394268100428,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2017,106.36232119468016,106.20787166859088,106.60009368357001,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2018,172.20447803591253,171.77049464886443,172.65162136173157,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2019,207.5737582003184,207.0403602422269,208.00489985960078,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2020,231.9059130194625,231.2553819626523,232.38963116212645,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2021,114.50977535512806,114.26755964399291,114.80574734017004,NPP,LUCAS CFE
