LUC,GCM,RCP,Iteration,Amount
BAU,CNRM-CM5,rcp85,45,-170.1
BAU,CNRM-CM5,rcp85,46,-209.7
BAU,CNRM-CM5,rcp85,47,-179.9
BAU,CNRM-CM5,rcp85,48,-144.5
BAU,CNRM-CM5,rcp85,49,-129.3
BAU,CNRM-CM5,rcp85,50,-144.1
BAU,CNRM-CM5,rcp85,51,-148.8
BAU,CNRM-CM5,rcp85,52,-185.7
BAU,CNRM-CM5,rcp85,53,-141.1
BAU,CNRM-CM5,rcp85,54,-150.9
BAU,CNRM-CM5,rcp85,55,-177.9
BAU,CNRM-CM5,rcp85,56,-196.7
BAU,CNRM-CM5,rcp85,57,-154.5
BAU,CNRM-CM5,rcp85,58,-195.5
BAU,CNRM-CM5,rcp85,59,-243
BAU,CNRM-CM5,rcp85,60,-137.3
BAU,CNRM-CM5,rcp85,61,-227.4
BAU,CNRM-CM5,rcp85,62,-216
BAU,CNRM-CM5,rcp85,63,-173.6
BAU,CNRM-CM5,rcp85,64,-182.3
BAU,CNRM-CM5,rcp85,65,-144.1
BAU,CNRM-CM5,rcp85,66,-201.9
BAU,CNRM-CM5,rcp85,67,-184.1
BAU,CNRM-CM5,rcp85,68,-222.9
BAU,CNRM-CM5,rcp85,69,-177.9
BAU,CNRM-CM5,rcp85,70,-151.5
BAU,CNRM-CM5,rcp85,71,-140.6
BAU,CNRM-CM5,rcp85,72,-134.7
BAU,CNRM-CM5,rcp85,73,-192.6
BAU,CNRM-CM5,rcp85,74,-188.6
BAU,CNRM-CM5,rcp85,75,-187.1
BAU,CNRM-CM5,rcp85,76,-178.6
BAU,CNRM-CM5,rcp85,77,-177.3
BAU,CNRM-CM5,rcp85,78,-178.6
BAU,CNRM-CM5,rcp85,79,-233.9
BAU,CNRM-CM5,rcp85,80,-207.8
BAU,CNRM-CM5,rcp85,81,-198.3
BAU,CNRM-CM5,rcp85,82,-202.7
BAU,CNRM-CM5,rcp85,83,-215.3
BAU,CNRM-CM5,rcp85,84,-184.3
BAU,CNRM-CM5,rcp85,85,-193.4
BAU,CNRM-CM5,rcp85,86,-168.1
BAU,CNRM-CM5,rcp85,87,-194.4
BAU,CNRM-CM5,rcp85,88,-169.7
BAU,CNRM-CM5,rcp85,89,-195
BAU,CNRM-CM5,rcp85,90,-132.4
BAU,CNRM-CM5,rcp85,91,-202.3
BAU,CNRM-CM5,rcp85,92,-172.5
BAU,CNRM-CM5,rcp85,93,-210.1
BAU,CNRM-CM5,rcp85,94,-159.1
BAU,CNRM-CM5,rcp85,95,-146.5
BAU,CNRM-CM5,rcp85,96,-250.5
BAU,CNRM-CM5,rcp85,97,-201.5
BAU,CNRM-CM5,rcp85,98,-174.1
BAU,CNRM-CM5,rcp85,99,-194.7
BAU,CNRM-CM5,rcp85,100,-151.6
BAU,HadGEM2-ES,rcp45,1,-591.9
BAU,HadGEM2-ES,rcp45,2,-648.6
BAU,HadGEM2-ES,rcp45,3,-613.8
BAU,HadGEM2-ES,rcp45,4,-618.3
BAU,HadGEM2-ES,rcp45,5,-640.7
BAU,HadGEM2-ES,rcp45,6,-638.4
BAU,HadGEM2-ES,rcp45,7,-609.1
BAU,HadGEM2-ES,rcp45,8,-591.2
BAU,HadGEM2-ES,rcp45,9,-586.3
BAU,HadGEM2-ES,rcp45,10,-633.9
BAU,HadGEM2-ES,rcp45,11,-615.4
BAU,HadGEM2-ES,rcp45,12,-600.7
BAU,HadGEM2-ES,rcp45,13,-604.2
BAU,HadGEM2-ES,rcp45,14,-594.5
BAU,HadGEM2-ES,rcp45,15,-624.1
BAU,HadGEM2-ES,rcp45,16,-606.8
BAU,HadGEM2-ES,rcp45,17,-625.1
BAU,HadGEM2-ES,rcp45,18,-653.3
BAU,HadGEM2-ES,rcp45,19,-598.7
BAU,HadGEM2-ES,rcp45,20,-618.5
BAU,HadGEM2-ES,rcp45,21,-633.9
BAU,HadGEM2-ES,rcp45,22,-617.2
BAU,HadGEM2-ES,rcp45,23,-623.6
BAU,HadGEM2-ES,rcp45,24,-596.6
BAU,HadGEM2-ES,rcp45,25,-616.4
BAU,HadGEM2-ES,rcp45,26,-614.2
BAU,HadGEM2-ES,rcp45,27,-610.5
BAU,HadGEM2-ES,rcp45,28,-600.7
BAU,HadGEM2-ES,rcp45,29,-600.1
BAU,HadGEM2-ES,rcp45,30,-652.4
BAU,HadGEM2-ES,rcp45,31,-622.2
BAU,HadGEM2-ES,rcp45,32,-610.7
BAU,HadGEM2-ES,rcp45,33,-648.9
BAU,HadGEM2-ES,rcp45,34,-643.4
BAU,HadGEM2-ES,rcp45,35,-577
BAU,HadGEM2-ES,rcp45,36,-578.3
BAU,HadGEM2-ES,rcp45,37,-570.3
BAU,HadGEM2-ES,rcp45,38,-620.5
BAU,HadGEM2-ES,rcp45,39,-623.8
BAU,HadGEM2-ES,rcp45,40,-634.9
BAU,HadGEM2-ES,rcp45,41,-654.9
BAU,HadGEM2-ES,rcp45,42,-587.5
BAU,HadGEM2-ES,rcp45,43,-614
BAU,HadGEM2-ES,rcp45,44,-596.2
BAU,HadGEM2-ES,rcp45,45,-614.6
BAU,HadGEM2-ES,rcp45,46,-636
BAU,HadGEM2-ES,rcp45,47,-623.5
BAU,HadGEM2-ES,rcp45,48,-593.6
BAU,HadGEM2-ES,rcp45,49,-612
BAU,HadGEM2-ES,rcp45,50,-624.1
BAU,HadGEM2-ES,rcp45,51,-610.6
BAU,HadGEM2-ES,rcp45,52,-654.1
BAU,HadGEM2-ES,rcp45,53,-623.7
BAU,HadGEM2-ES,rcp45,54,-612
BAU,HadGEM2-ES,rcp45,55,-570.3
BAU,HadGEM2-ES,rcp45,56,-653.5
BAU,HadGEM2-ES,rcp45,57,-599.1
BAU,HadGEM2-ES,rcp45,58,-624.7
BAU,HadGEM2-ES,rcp45,59,-612.5
BAU,HadGEM2-ES,rcp45,60,-594.3
BAU,HadGEM2-ES,rcp45,61,-628
BAU,HadGEM2-ES,rcp45,62,-618.6
BAU,HadGEM2-ES,rcp45,63,-614.9
BAU,HadGEM2-ES,rcp45,64,-588.5
BAU,HadGEM2-ES,rcp45,65,-643
BAU,HadGEM2-ES,rcp45,66,-597.1
BAU,HadGEM2-ES,rcp45,67,-599.8
BAU,HadGEM2-ES,rcp45,68,-559.8
BAU,HadGEM2-ES,rcp45,69,-574.2
BAU,HadGEM2-ES,rcp45,70,-601.5
BAU,HadGEM2-ES,rcp45,71,-580.3
BAU,HadGEM2-ES,rcp45,72,-613.3
BAU,HadGEM2-ES,rcp45,73,-578.5
BAU,HadGEM2-ES,rcp45,74,-633.4
BAU,HadGEM2-ES,rcp45,75,-620.9
BAU,HadGEM2-ES,rcp45,76,-628.2
BAU,HadGEM2-ES,rcp45,77,-611.9
BAU,HadGEM2-ES,rcp45,78,-601.5
BAU,HadGEM2-ES,rcp45,79,-653.4
BAU,HadGEM2-ES,rcp45,80,-605.8
BAU,HadGEM2-ES,rcp45,81,-597.5
BAU,HadGEM2-ES,rcp45,82,-596.5
BAU,HadGEM2-ES,rcp45,83,-618
BAU,HadGEM2-ES,rcp45,84,-569.3
BAU,HadGEM2-ES,rcp45,85,-619.1
BAU,HadGEM2-ES,rcp45,86,-642.2
BAU,HadGEM2-ES,rcp45,87,-627.6
BAU,HadGEM2-ES,rcp45,88,-669.4
BAU,HadGEM2-ES,rcp45,89,-638.3
BAU,HadGEM2-ES,rcp45,90,-643.4
BAU,HadGEM2-ES,rcp45,91,-647.7
BAU,HadGEM2-ES,rcp45,92,-597.7
BAU,HadGEM2-ES,rcp45,93,-619.9
BAU,HadGEM2-ES,rcp45,94,-606
BAU,HadGEM2-ES,rcp45,95,-626.4
BAU,HadGEM2-ES,rcp45,96,-612.3
BAU,HadGEM2-ES,rcp45,97,-601.5
BAU,HadGEM2-ES,rcp45,98,-643.2
BAU,HadGEM2-ES,rcp45,99,-612.8
BAU,HadGEM2-ES,rcp45,100,-636.8
BAU,HadGEM2-ES,rcp85,1,-936.4
BAU,HadGEM2-ES,rcp85,2,-908.7
BAU,HadGEM2-ES,rcp85,3,-868.3
BAU,HadGEM2-ES,rcp85,4,-902.7
BAU,HadGEM2-ES,rcp85,5,-862.5
BAU,HadGEM2-ES,rcp85,6,-880.9
BAU,HadGEM2-ES,rcp85,7,-864
BAU,HadGEM2-ES,rcp85,8,-882.9
BAU,HadGEM2-ES,rcp85,9,-870.9
BAU,HadGEM2-ES,rcp85,10,-891.5
BAU,HadGEM2-ES,rcp85,11,-859
BAU,HadGEM2-ES,rcp85,12,-890.1
BAU,HadGEM2-ES,rcp85,13,-863.5
BAU,HadGEM2-ES,rcp85,14,-873.7
BAU,HadGEM2-ES,rcp85,15,-884.9
BAU,HadGEM2-ES,rcp85,16,-854
BAU,HadGEM2-ES,rcp85,17,-922.2
BAU,HadGEM2-ES,rcp85,18,-868.5
BAU,HadGEM2-ES,rcp85,19,-926.3
BAU,HadGEM2-ES,rcp85,20,-843.2
BAU,HadGEM2-ES,rcp85,21,-907.4
BAU,HadGEM2-ES,rcp85,22,-851.6
BAU,HadGEM2-ES,rcp85,23,-925.3
BAU,HadGEM2-ES,rcp85,24,-881.7
BAU,HadGEM2-ES,rcp85,25,-872.2
BAU,HadGEM2-ES,rcp85,26,-896
BAU,HadGEM2-ES,rcp85,27,-906
BAU,HadGEM2-ES,rcp85,28,-902.5
BAU,HadGEM2-ES,rcp85,29,-913.4
BAU,HadGEM2-ES,rcp85,30,-877.3
BAU,HadGEM2-ES,rcp85,31,-876.9
BAU,HadGEM2-ES,rcp85,32,-891.1
BAU,HadGEM2-ES,rcp85,33,-890.2
BAU,HadGEM2-ES,rcp85,34,-888.5
BAU,HadGEM2-ES,rcp85,35,-907.5
BAU,HadGEM2-ES,rcp85,36,-901.9
BAU,HadGEM2-ES,rcp85,37,-870.8
BAU,HadGEM2-ES,rcp85,38,-876.2
BAU,HadGEM2-ES,rcp85,39,-881
BAU,HadGEM2-ES,rcp85,40,-893.2
BAU,HadGEM2-ES,rcp85,41,-864
BAU,HadGEM2-ES,rcp85,42,-917.5
BAU,HadGEM2-ES,rcp85,43,-882.4
BAU,HadGEM2-ES,rcp85,44,-893.2
BAU,HadGEM2-ES,rcp85,45,-824.2
BAU,HadGEM2-ES,rcp85,46,-894.2
BAU,HadGEM2-ES,rcp85,47,-876.3
BAU,HadGEM2-ES,rcp85,48,-885.1
BAU,HadGEM2-ES,rcp85,49,-916.6
BAU,HadGEM2-ES,rcp85,50,-861.7
BAU,HadGEM2-ES,rcp85,51,-924.6
BAU,HadGEM2-ES,rcp85,52,-867.1
BAU,HadGEM2-ES,rcp85,53,-862.4
BAU,HadGEM2-ES,rcp85,54,-873.8
BAU,HadGEM2-ES,rcp85,55,-894.7
BAU,HadGEM2-ES,rcp85,56,-882
BAU,HadGEM2-ES,rcp85,57,-839.8
BAU,HadGEM2-ES,rcp85,58,-890.3
BAU,HadGEM2-ES,rcp85,59,-876.9
BAU,HadGEM2-ES,rcp85,60,-840.6
BAU,HadGEM2-ES,rcp85,61,-877.4
BAU,HadGEM2-ES,rcp85,62,-870.3
BAU,HadGEM2-ES,rcp85,63,-845
BAU,HadGEM2-ES,rcp85,64,-864
BAU,HadGEM2-ES,rcp85,65,-889.4
BAU,HadGEM2-ES,rcp85,66,-875.9
BAU,HadGEM2-ES,rcp85,67,-874.3
BAU,HadGEM2-ES,rcp85,68,-839.8
BAU,HadGEM2-ES,rcp85,69,-906.8
BAU,HadGEM2-ES,rcp85,70,-895.3
BAU,HadGEM2-ES,rcp85,71,-859
BAU,HadGEM2-ES,rcp85,72,-851
BAU,HadGEM2-ES,rcp85,73,-854.4
BAU,HadGEM2-ES,rcp85,74,-901.4
BAU,HadGEM2-ES,rcp85,75,-830.8
BAU,HadGEM2-ES,rcp85,76,-875.7
BAU,HadGEM2-ES,rcp85,77,-865.2
BAU,HadGEM2-ES,rcp85,78,-871.2
BAU,HadGEM2-ES,rcp85,79,-888.9
