Timestep,Flux,Mean,Lower,Upper
2024,Emission (Clearcut),0.4,0.1,0.6
2024,Emission (Fire),2.4,0.7,5.1
2024,Emission (Orchard Removal),2.2,0.9,3.8
2024,Emission (Urban),1,0.5,1.6
2024,Harvest (AgExpand),0.1,0,0.2
2024,Harvest (Clearcut),3.1,1.1,5.1
2024,Harvest (Grain),11.3,7.9,15
2024,Harvest (Straw),7.8,5.1,10.9
2024,Harvest (Thinning),0.7,0.2,1.1
2024,Harvest (Urban),0.1,0,0.2
2024,Leaching,2.2,2.1,2.3
2024,LULCC,39.6,29.1,48.4
2024,Mortality,11.9,8.7,14.1
2024,Mortality (Fire),1.4,0.4,3.1
2024,Mortality (Harvest),1.5,0.6,2.5
2024,Mortality (Insects),29.2,3.9,148.1
2024,NECB,12.9,-32,64.8
2024,NEP,52.5,-1.1,109
2024,NPP,163.1,101.2,222.5
2024,Rh,110.6,102.4,115.8
2025,Emission (AgExpand),0.5,0.2,0.8
2025,Emission (Biomass),7.8,5.9,8.7
2025,Emission (Clearcut),0.4,0.1,0.6
2025,Emission (Fire),3.3,1.4,5.8
2025,Emission (Orchard Removal),2.2,0.9,3.9
2025,Emission (Urban),1,0.5,1.7
2025,Harvest (AgExpand),0.1,0,0.2
2025,Harvest (Clearcut),3.1,1.1,5.1
2025,Harvest (Grain),11.8,8.5,15.3
2025,Harvest (Straw),8.3,5.5,11.1
2025,Harvest (Thinning),0.7,0.2,1.1
2025,Harvest (Urban),0.1,0,0.3
2025,Leaching,2.2,2.1,2.2
2025,LULCC,41.3,31.8,50.5
2025,Mortality,12.2,9.3,14.4
2025,Mortality (Fire),1.8,0.8,3.2
2025,Mortality (Harvest),1.5,0.6,2.6
2025,Mortality (Insects),27.6,3.3,78.3
2025,NECB,15.6,-18.5,45
2025,NEP,56.9,16,91.9
2025,NPP,168.6,125.2,209.3
2025,Rh,111.7,108.3,117.4
2026,Emission (AgExpand),0.5,0.2,0.9
2026,Emission (Biomass),7.7,6,8.5
2026,Emission (Clearcut),0.4,0.1,0.6
2026,Emission (Fire),2.5,0.9,6.8
2026,Emission (Orchard Removal),2.2,0.9,3.8
2026,Emission (Urban),1,0.5,1.7
2026,Harvest (AgExpand),0.1,0,0.2
2026,Harvest (Clearcut),3.1,1.1,5.1
2026,Harvest (Grain),11.6,10.2,12.7
2026,Harvest (Straw),8.1,7,9
2026,Harvest (Thinning),0.7,0.2,1.1
2026,Harvest (Urban),0.1,0,0.2
2026,Leaching,2.2,2.1,2.2
2026,LULCC,40.2,34.5,46.5
2026,Mortality,11.7,9.1,15.3
2026,Mortality (Fire),1.5,0.5,4.2
2026,Mortality (Harvest),1.6,0.6,2.6
2026,Mortality (Insects),14.5,3.1,37.6
2026,NECB,6.6,-13,27.7
2026,NEP,46.8,27.5,67.9
2026,NPP,163.3,148.6,178.1
2026,Rh,116.6,107.7,127.8
2027,Emission (AgExpand),0.5,0.2,0.9
2027,Emission (Biomass),7.6,6,8.4
2027,Emission (Clearcut),0.4,0.1,0.6
2027,Emission (Fire),3.4,1.1,10.3
2027,Emission (Orchard Removal),2.2,0.9,3.8
2027,Emission (Urban),1,0.5,1.7
2027,Harvest (AgExpand),0.1,0,0.2
2027,Harvest (Clearcut),3.1,1.1,5.1
2027,Harvest (Grain),9.8,6.3,12.9
2027,Harvest (Straw),6.7,3.7,9.1
2027,Harvest (Thinning),0.7,0.2,1.1
2027,Harvest (Urban),0.1,0,0.2
2027,Leaching,2.2,2.1,2.2
2027,LULCC,37.7,28.8,45.7
2027,Mortality,12,9.1,16.3
2027,Mortality (Fire),1.9,0.6,5.5
2027,Mortality (Harvest),1.6,0.6,2.5
2027,Mortality (Insects),24,1.4,135.4
2027,NECB,-16.2,-76.5,30
2027,NEP,21.5,-37.9,69.7
2027,NPP,132.7,73.2,184.2
2027,Rh,111.2,105.3,119.8
2028,Emission (AgExpand),0.5,0.2,0.9
2028,Emission (Biomass),7.4,5.9,8.3
2028,Emission (Clearcut),0.4,0.1,0.6
2028,Emission (Fire),2.8,1.1,5.5
2028,Emission (Orchard Removal),2.2,0.8,3.8
2028,Emission (Urban),1,0.5,1.6
2028,Harvest (AgExpand),0.1,0,0.2
2028,Harvest (Clearcut),3.1,1.1,5.1
2028,Harvest (Grain),9.4,7.4,13.3
2028,Harvest (Straw),6.3,4.6,9.5
2028,Harvest (Thinning),0.7,0.2,1.1
2028,Harvest (Urban),0.1,0,0.2
2028,Leaching,2.2,2.1,2.3
2028,LULCC,36.1,29.6,46.8
2028,Mortality,11.5,8.9,13.8
2028,Mortality (Fire),1.6,0.5,3.1
2028,Mortality (Harvest),1.6,0.6,2.5
2028,Mortality (Insects),15.3,1.8,84.8
2028,NECB,-13.7,-38.1,39.8
2028,NEP,22.4,-0.7,83.5
2028,NPP,132.7,110.4,192.6
2028,Rh,110.3,96.8,121
2029,Emission (AgExpand),0.5,0.2,0.9
2029,Emission (Biomass),7.4,5.7,8.4
2029,Emission (Clearcut),0.4,0.1,0.6
