LUC,GCM,RCP,Flux,Mean,Lower,Upper
Low,CanESM2,rcp85,Emission (Urban),0.3,0.3,0.3
Low,CanESM2,rcp85,Harvest (AgExpand),0,0,0
Low,CanESM2,rcp85,Harvest (Clearcut),2.4,2.2,2.6
Low,CanESM2,rcp85,Harvest (Grain),10.6,10.4,10.7
Low,CanESM2,rcp85,Harvest (Straw),6.8,6.6,6.9
Low,CanESM2,rcp85,Harvest (Thinning),0.4,0.3,0.4
Low,CanESM2,rcp85,Harvest (Urban),0,0,0
Low,CanESM2,rcp85,Leaching,2.2,2.2,2.2
Low,CanESM2,rcp85,LULCC,37.8,37,38.5
Low,CanESM2,rcp85,Mortality,12.2,11.5,12.9
Low,CanESM2,rcp85,Mortality (Fire),2.5,2.3,2.7
Low,CanESM2,rcp85,Mortality (Harvest),1.2,1.1,1.3
Low,CanESM2,rcp85,Mortality (Insects),12.8,11.4,14.2
Low,CanESM2,rcp85,NECB,-0.9,-1.7,0.1
Low,CanESM2,rcp85,NEP,37,35.6,38.4
Low,CanESM2,rcp85,NPP,166.1,164.2,167.8
