LUC,Timestep,LULC,Mean,Lower,Upper
BAU,2054,Grassland,43725.09637046308,43046.8,44490.1
BAU,2054,Shrubland,109613.76625,109312.9,109929.22499999999
BAU,2054,SnowIce,28,28,28
BAU,2054,Water,18655,18655,18655
BAU,2054,Wetland,2684.15125,2605.95,2773.0249999999996
BAU,2055,Agriculture,42748.59,42167.950000000004,43339.125
BAU,2055,Barren,19155,19155,19155
BAU,2055,Developed,32970.56195244055,31947,33888.799999999996
BAU,2055,Forest,154322.28660826033,153995.6,154637.1
BAU,2055,Grassland,43675.88,42969.875,44442.075
BAU,2055,Shrubland,109572.04875,109273.875,109891.04999999999
BAU,2055,SnowIce,28,28,28
BAU,2055,Water,18655,18655,18655
BAU,2055,Wetland,2684.99875,2607.975,2775
BAU,2056,Agriculture,42704.92365456821,42104.95,43300.4
BAU,2056,Barren,19155,19155,19155
BAU,2056,Developed,33149.51063829787,32127.6,34087.35
BAU,2056,Forest,154279.46625,153928.975,154609.025
BAU,2056,Grassland,43624.23904881101,42910,44357.35
BAU,2056,Shrubland,109530.21875,109226.875,109850.07500000001
BAU,2056,SnowIce,28,28,28
BAU,2056,Water,18655,18655,18655
BAU,2056,Wetland,2684.99,2606,2775.025
BAU,2057,Agriculture,42659.92,42081.950000000004,43247.025
BAU,2057,Barren,19155,19155,19155
BAU,2057,Developed,33321.4931163955,32281.5,34324.25
BAU,2057,Forest,154239.1,153898.825,154569.025
BAU,2057,Grassland,43577.80475594493,42858.649999999994,44320.25
BAU,2057,Shrubland,109489.45125,109175.95,109800.52500000001
BAU,2057,SnowIce,28,28,28
BAU,2057,Water,18655,18655,18655
BAU,2057,Wetland,2686.105,2607.975,2777.0499999999997
BAU,2058,Agriculture,42613.80625,42026.975000000006,43218.05
BAU,2058,Barren,19155,19155,19155
BAU,2058,Developed,33499.48125,32427,34502.1
BAU,2058,Forest,154197.27659574468,153848.9,154540.25
BAU,2058,Grassland,43527.33416770964,42792.9,44297.55
BAU,2058,Shrubland,109448.5775,109121.975,109779.025
BAU,2058,SnowIce,28,28,28
BAU,2058,Water,18655,18655,18655
BAU,2058,Wetland,2687.18,2607,2777.0499999999997
