LUC,GCM,RCP,Timestep,StockGroup,Ecosystem,Mean,Lower,Upper
BAU,CanESM2,rcp45,2041,DOM,Yes,585.6,547.2,627.1
BAU,CanESM2,rcp45,2041,Live,No,1.1,0.9,1.2
BAU,CanESM2,rcp45,2041,Live,Yes,1491.3,1424.1,1564.9
BAU,CanESM2,rcp45,2041,Soil,No,35.9,31.4,39.5
BAU,CanESM2,rcp45,2041,Soil,Yes,2484.5,2477.4,2492.2
BAU,CanESM2,rcp45,2042,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2042,DOM,Yes,612.4,570.4,650.1
BAU,CanESM2,rcp45,2042,Live,No,1.1,0.9,1.3
BAU,CanESM2,rcp45,2042,Live,Yes,1474.3,1409.2,1549.2
BAU,CanESM2,rcp45,2042,Soil,No,36.8,32.1,40.6
BAU,CanESM2,rcp45,2042,Soil,Yes,2485.4,2477.3,2493
BAU,CanESM2,rcp45,2043,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2043,DOM,Yes,651.8,600.8,706
BAU,CanESM2,rcp45,2043,Live,No,1.1,1,1.3
BAU,CanESM2,rcp45,2043,Live,Yes,1448.8,1372.6,1534.5
BAU,CanESM2,rcp45,2043,Soil,No,37.7,33.1,41.5
BAU,CanESM2,rcp45,2043,Soil,Yes,2487.4,2479.2,2495
BAU,CanESM2,rcp45,2044,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2044,DOM,Yes,675.2,627.7,728.2
BAU,CanESM2,rcp45,2044,Live,No,1.2,1,1.3
BAU,CanESM2,rcp45,2044,Live,Yes,1404.4,1337.4,1483.4
BAU,CanESM2,rcp45,2044,Soil,No,38.7,34.2,42.7
BAU,CanESM2,rcp45,2044,Soil,Yes,2489.4,2481.5,2497.4
BAU,CanESM2,rcp45,2045,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2045,DOM,Yes,705.7,655.5,781.8
BAU,CanESM2,rcp45,2045,Live,No,1.2,1,1.3
BAU,CanESM2,rcp45,2045,Live,Yes,1353.8,1267.1,1419.9
BAU,CanESM2,rcp45,2045,Soil,No,39.5,34.8,43.5
BAU,CanESM2,rcp45,2045,Soil,Yes,2490.8,2482.8,2498.8
BAU,CanESM2,rcp45,2046,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2046,DOM,Yes,696.6,645.7,771.5
BAU,CanESM2,rcp45,2046,Live,No,1.2,1,1.4
BAU,CanESM2,rcp45,2046,Live,Yes,1331.6,1247.4,1400.2
BAU,CanESM2,rcp45,2046,Soil,No,40.4,35.5,44.5
BAU,CanESM2,rcp45,2046,Soil,Yes,2489.9,2481.4,2498.5
BAU,CanESM2,rcp45,2047,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2047,DOM,Yes,688.6,637.1,762.3
BAU,CanESM2,rcp45,2047,Live,No,1.2,1.1,1.4
BAU,CanESM2,rcp45,2047,Live,Yes,1351.1,1264.4,1419.7
BAU,CanESM2,rcp45,2047,Soil,No,41.3,36.5,45.6
BAU,CanESM2,rcp45,2047,Soil,Yes,2487.2,2478.4,2495.8
BAU,CanESM2,rcp45,2048,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2048,DOM,Yes,676.7,624.9,748.1
BAU,CanESM2,rcp45,2048,Live,No,1.3,1.1,1.4
BAU,CanESM2,rcp45,2048,Live,Yes,1339.6,1251.7,1412
BAU,CanESM2,rcp45,2048,Soil,No,42.1,37,46.1
BAU,CanESM2,rcp45,2048,Soil,Yes,2486.6,2477.9,2495.8
BAU,CanESM2,rcp45,2049,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2049,DOM,Yes,666.7,617.1,735.6
BAU,CanESM2,rcp45,2049,Live,No,1.3,1.1,1.5
BAU,CanESM2,rcp45,2049,Live,Yes,1334.9,1243.1,1409.5
BAU,CanESM2,rcp45,2049,Soil,No,43,38.6,47.1
BAU,CanESM2,rcp45,2049,Soil,Yes,2483.5,2474.6,2493.1
BAU,CanESM2,rcp45,2050,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2050,DOM,Yes,652.7,604.9,719.5
BAU,CanESM2,rcp45,2050,Live,No,1.3,1.1,1.5
BAU,CanESM2,rcp45,2050,Live,Yes,1327.4,1237.6,1402.4
BAU,CanESM2,rcp45,2050,Soil,No,43.9,39.3,48.1
BAU,CanESM2,rcp45,2050,Soil,Yes,2479.7,2471.3,2489.8
BAU,CanESM2,rcp45,2051,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2051,DOM,Yes,642.3,594.9,707.8
BAU,CanESM2,rcp45,2051,Live,No,1.3,1.2,1.5
BAU,CanESM2,rcp45,2051,Live,Yes,1319.5,1228.1,1393.3
BAU,CanESM2,rcp45,2051,Soil,No,44.7,40,48.9
BAU,CanESM2,rcp45,2051,Soil,Yes,2474.7,2466,2484.7
BAU,CanESM2,rcp45,2052,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2052,DOM,Yes,643.7,595.2,708.4
BAU,CanESM2,rcp45,2052,Live,No,1.4,1.2,1.5
BAU,CanESM2,rcp45,2052,Live,Yes,1325.1,1233.3,1402.5
BAU,CanESM2,rcp45,2052,Soil,No,45.7,41.1,50
BAU,CanESM2,rcp45,2052,Soil,Yes,2468.4,2459.7,2478.6
BAU,CanESM2,rcp45,2053,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2053,DOM,Yes,642.2,600.9,705.7
BAU,CanESM2,rcp45,2053,Live,No,1.4,1.2,1.6
BAU,CanESM2,rcp45,2053,Live,Yes,1309.5,1218.1,1379.7
