LUC,GCM,RCP,EcoregionID,EcoregionName,Mean,Lower,Upper
High,MIROC5,rcp85,5,Sierra Nevada,-153.6,-161,-146.1
High,MIROC5,rcp85,6,Oak Woodlands,-256.5,-264.6,-245.9
High,MIROC5,rcp85,7,Central Valley,-105.8,-109.9,-101.7
High,MIROC5,rcp85,8,SoCal Mtns.,-41.2,-44.3,-38.5
High,MIROC5,rcp85,9,East Cascades,-43.2,-46.1,-39.5
High,MIROC5,rcp85,13,Central B&R,-9.4,-10.1,-8.8
High,MIROC5,rcp85,14,Mojave B&R,-42.7,-43.4,-42.1
High,MIROC5,rcp85,78,Klamath Mtns.,-87.3,-107.7,-63.8
High,MIROC5,rcp85,80,Northern B&R,-6.8,-7.1,-6.5
High,MIROC5,rcp85,81,Sonoran B&R,-20.5,-21.2,-19.9
Low,CanESM2,rcp45,1,Coast Range,-9.5,-20.2,1.8
Low,CanESM2,rcp45,4,Cascades,-3.1,-4.1,-2.1
Low,CanESM2,rcp45,5,Sierra Nevada,-47.9,-60.5,-37.8
Low,CanESM2,rcp45,6,Oak Woodlands,-34.5,-45.5,-25.6
Low,CanESM2,rcp45,7,Central Valley,-32,-36.6,-26.5
Low,CanESM2,rcp45,8,SoCal Mtns.,0.7,-2.6,4.1
Low,CanESM2,rcp45,9,East Cascades,-11.4,-16,-5.8
Low,CanESM2,rcp45,13,Central B&R,12.2,11.2,13.2
Low,CanESM2,rcp45,14,Mojave B&R,0.4,-0.2,0.8
Low,CanESM2,rcp45,78,Klamath Mtns.,-21.5,-36.2,-6.6
Low,CanESM2,rcp45,80,Northern B&R,0.7,0.2,1.2
Low,CanESM2,rcp45,81,Sonoran B&R,-5.8,-6.4,-5.1
Low,CanESM2,rcp85,1,Coast Range,-33.5,-47.4,-17.7
Low,CanESM2,rcp85,4,Cascades,-3.4,-5,-2.4
Low,CanESM2,rcp85,5,Sierra Nevada,-45.1,-59.9,-30
Low,CanESM2,rcp85,6,Oak Woodlands,8.7,-6.4,26.9
Low,CanESM2,rcp85,7,Central Valley,-14.7,-21.3,-8.2
Low,CanESM2,rcp85,8,SoCal Mtns.,26.1,23.4,29.3
Low,CanESM2,rcp85,9,East Cascades,-17.1,-22.5,-11.8
Low,CanESM2,rcp85,13,Central B&R,25.8,24.7,26.6
Low,CanESM2,rcp85,14,Mojave B&R,39.5,38.6,40.4
Low,CanESM2,rcp85,78,Klamath Mtns.,-61.1,-81.3,-36.6
Low,CanESM2,rcp85,80,Northern B&R,0.7,0.2,1.3
Low,CanESM2,rcp85,81,Sonoran B&R,-0.6,-1.2,0.1
Low,CNRM-CM5,rcp45,1,Coast Range,19.7,8.8,29.4
Low,CNRM-CM5,rcp45,4,Cascades,-2.7,-4.1,-1.6
Low,CNRM-CM5,rcp45,5,Sierra Nevada,-31.4,-43.6,-19.9
Low,CNRM-CM5,rcp45,6,Oak Woodlands,76.3,62.3,88.7
Low,CNRM-CM5,rcp45,7,Central Valley,5.2,-1.5,10.3
Low,CNRM-CM5,rcp45,8,SoCal Mtns.,19,15.3,22.2
Low,CNRM-CM5,rcp45,9,East Cascades,-18.3,-24.2,-12.2
Low,CNRM-CM5,rcp45,13,Central B&R,12.6,11.4,13.6
Low,CNRM-CM5,rcp45,14,Mojave B&R,27.7,27,28.3
Low,CNRM-CM5,rcp45,78,Klamath Mtns.,11.7,-3,25.6
Low,CNRM-CM5,rcp45,80,Northern B&R,-0.5,-0.9,0
Low,CNRM-CM5,rcp45,81,Sonoran B&R,2,1.2,2.6
Low,CNRM-CM5,rcp85,1,Coast Range,7.2,-2.3,18.4
