Timestep,StockGroup,Ecosystem,Mean,Lower,Upper
2066,Soil,Yes,2440.1,2265.4,2673.6
2067,DOM,No,0.1,0.1,0.2
2067,DOM,Yes,578.8,502.9,730.3
2067,Live,No,1.5,0.9,2
2067,Live,Yes,1363.7,984.9,1654.3
2067,Soil,No,51.3,33.8,64.7
2067,Soil,Yes,2434.3,2253.1,2668.2
2068,DOM,No,0.1,0.1,0.2
2068,DOM,Yes,588.5,504.3,729.8
2068,Live,No,1.5,1,2
2068,Live,Yes,1367.7,1007.1,1606.4
2068,Soil,No,51.9,33.9,65.5
2068,Soil,Yes,2428.6,2238.9,2668.2
2069,DOM,No,0.1,0.1,0.2
2069,DOM,Yes,593.2,504.3,749.8
2069,Live,No,1.5,1,2
2069,Live,Yes,1347.3,986.1,1609
2069,Soil,No,52.4,34.1,66.3
2069,Soil,Yes,2424.5,2228.6,2662.7
2070,DOM,No,0.1,0.1,0.2
2070,DOM,Yes,595.6,495.3,791.2
2070,Live,No,1.5,1,2.1
2070,Live,Yes,1354.7,975.5,1602.5
2070,Soil,No,53,34.2,67.1
2070,Soil,Yes,2419.1,2217.1,2658.9
2071,DOM,No,0.1,0.1,0.2
2071,DOM,Yes,596,490.9,808.3
2071,Live,No,1.5,1,2.1
2071,Live,Yes,1363.4,933.3,1611.9
2071,Soil,No,53.5,34.4,68
2071,Soil,Yes,2414.9,2209.1,2656.9
2072,DOM,No,0.1,0.1,0.2
2072,DOM,Yes,591.2,482.7,793.4
2072,Live,No,1.6,1,2.1
2072,Live,Yes,1349.7,941.2,1599.9
2072,Soil,No,54,34.5,68.8
2072,Soil,Yes,2411.3,2201,2659.6
2073,DOM,No,0.1,0.1,0.2
2073,DOM,Yes,587.7,485.1,785.8
2073,Live,No,1.6,1,2.2
2073,Live,Yes,1332.8,891.8,1578.5
2073,Soil,No,54.5,34.7,69.6
2073,Soil,Yes,2406.2,2192.4,2658
2074,DOM,No,0.1,0.1,0.2
2074,DOM,Yes,579.2,479.3,772.8
2074,Live,No,1.6,1,2.2
2074,Live,Yes,1347.2,956.4,1556.5
2074,Soil,No,55.1,34.9,70.6
2074,Soil,Yes,2399.8,2179.3,2655
2075,DOM,No,0.2,0.1,0.2
2075,DOM,Yes,574.8,468.4,764.4
2075,Live,No,1.6,1,2.2
2075,Live,Yes,1362.2,974.7,1569.8
2075,Soil,No,55.6,35,71.4
2075,Soil,Yes,2394.5,2172.7,2650.9
2076,DOM,No,0.2,0.1,0.2
2076,DOM,Yes,567.5,463.7,749.9
2076,Live,No,1.6,1,2.2
2076,Live,Yes,1357.2,973.4,1574.3
2076,Soil,No,56,35.1,72.3
