LUC,GCM,RCP,Flow,FlowPrimary,FromStock,Mean,Lower,Upper
BAU,MIROC5,rcp85,Growth,Growth,Atmosphere,1143687,1143687,1143687
BAU,MIROC5,rcp85,Harvest,Harvest,Living Biomass,31784.3,31784.3,31784.3
BAU,MIROC5,rcp85,Harvest (grain),Harvest,Living Biomass,73351,73351,73351
BAU,MIROC5,rcp85,Harvest (straw),Harvest,Living Biomass,43048.3,43048.3,43048.3
BAU,MIROC5,rcp85,Leaching,Leaching,Soil,18772.2,18772.2,18772.2
BAU,MIROC5,rcp85,Litterfall,Litterfall,Living Biomass,758765.9,758765.9,758765.9
BAU,MIROC5,rcp85,Mortality,Mortality,Living Biomass,91637.8,91637.8,91637.8
BAU,MIROC5,rcp85,Mortality (insects high),Mortality,Living Biomass,67141.4,67141.4,67141.4
BAU,MIROC5,rcp85,Mortality (insects low),Mortality,Living Biomass,29908.3,29908.3,29908.3
BAU,MIROC5,rcp85,Mortality (insects medium),Mortality,Living Biomass,13996.1,13996.1,13996.1
High,CanESM2,rcp45,Deadfall,Deadfall,Standing Dead,169886.8,169886.8,169886.8
High,CanESM2,rcp45,Decay,Decay,Down Dead,173024.3,173024.3,173024.3
High,CanESM2,rcp45,Decomposition,Decomposition,Litter,512331.5,512331.5,512331.5
High,CanESM2,rcp45,Emission,Emission,Living Biomass,77761.2,77761.2,77761.2
High,CanESM2,rcp45,Emission (biomass),Emission,Living Biomass,59195.6,59195.6,59195.6
High,CanESM2,rcp45,Emission (litter),Emission,Litter,492206.3,492206.3,492206.3
High,CanESM2,rcp45,Emission (soil),Emission,Soil,502304.9,502304.9,502304.9
High,CanESM2,rcp45,Growth,Growth,Atmosphere,1296108.4,1296108.4,1296108.4
High,CanESM2,rcp45,Harvest,Harvest,Living Biomass,40280.1,40280.1,40280.1
High,CanESM2,rcp45,Harvest (grain),Harvest,Living Biomass,88827.3,88827.3,88827.3
High,CanESM2,rcp45,Harvest (straw),Harvest,Living Biomass,54448.5,54448.5,54448.5
High,CanESM2,rcp45,Leaching,Leaching,Soil,18880.4,18880.4,18880.4
High,CanESM2,rcp45,Litterfall,Litterfall,Living Biomass,841124.8,841124.8,841124.8
High,CanESM2,rcp45,Mortality,Mortality,Living Biomass,101853.2,101853.2,101853.2
High,CanESM2,rcp45,Mortality (insects high),Mortality,Living Biomass,55413.4,55413.4,55413.4
High,CanESM2,rcp45,Mortality (insects low),Mortality,Living Biomass,31548,31548,31548
High,CanESM2,rcp45,Mortality (insects medium),Mortality,Living Biomass,12107.3,12107.3,12107.3
High,CanESM2,rcp85,Deadfall,Deadfall,Standing Dead,180030.8,180030.8,180030.8
High,CanESM2,rcp85,Decay,Decay,Down Dead,182440.9,182440.9,182440.9
High,CanESM2,rcp85,Decomposition,Decomposition,Litter,543550.8,543550.8,543550.8
High,CanESM2,rcp85,Emission,Emission,Living Biomass,85731.5,85731.5,85731.5
High,CanESM2,rcp85,Emission (biomass),Emission,Living Biomass,57445.9,57445.9,57445.9
High,CanESM2,rcp85,Emission (litter),Emission,Litter,542737.3,542737.3,542737.3
High,CanESM2,rcp85,Emission (soil),Emission,Soil,543400.5,543400.5,543400.5
High,CanESM2,rcp85,Growth,Growth,Atmosphere,1417714.3,1417714.3,1417714.3
High,CanESM2,rcp85,Harvest,Harvest,Living Biomass,39647.1,39647.1,39647.1
High,CanESM2,rcp85,Harvest (grain),Harvest,Living Biomass,97092.7,97092.7,97092.7
High,CanESM2,rcp85,Harvest (straw),Harvest,Living Biomass,61303.5,61303.5,61303.5
