LUC,GCM,RCP,Timestep,Ecosystem,Mean,Lower,Upper
BAU,CanESM2,rcp85,2036,Yes,4502,4465.1,4548.3
BAU,CanESM2,rcp85,2037,No,33.5,30.2,37.5
BAU,CanESM2,rcp85,2037,Yes,4442.3,4402.7,4490.5
BAU,CanESM2,rcp85,2038,No,34.4,30.8,38.6
BAU,CanESM2,rcp85,2038,Yes,4436.8,4395.9,4488
BAU,CanESM2,rcp85,2039,No,35.4,31.5,39.5
BAU,CanESM2,rcp85,2039,Yes,4435.2,4392.6,4488.4
BAU,CanESM2,rcp85,2040,No,36.3,32.5,40.7
BAU,CanESM2,rcp85,2040,Yes,4468,4425.8,4524
BAU,CanESM2,rcp85,2041,No,37.1,33.1,41.5
BAU,CanESM2,rcp85,2041,Yes,4450.2,4405.4,4510.3
BAU,CanESM2,rcp85,2042,No,38,33.6,42.2
BAU,CanESM2,rcp85,2042,Yes,4428.7,4380,4488
BAU,CanESM2,rcp85,2043,No,38.9,34.4,43.3
BAU,CanESM2,rcp85,2043,Yes,4477.8,4428.4,4540.4
BAU,CanESM2,rcp85,2044,No,39.8,35.3,44.3
BAU,CanESM2,rcp85,2044,Yes,4455.7,4403.1,4523.5
BAU,CanESM2,rcp85,2045,No,40.7,36.2,45
BAU,CanESM2,rcp85,2045,Yes,4488.6,4430.7,4560.5
BAU,CanESM2,rcp85,2046,No,41.6,37.5,46.1
BAU,CanESM2,rcp85,2046,Yes,4451,4391.3,4525.9
BAU,CanESM2,rcp85,2047,No,42.6,38.2,46.8
BAU,CanESM2,rcp85,2047,Yes,4438.8,4374.7,4516
BAU,CanESM2,rcp85,2048,No,43.5,39.1,47.7
BAU,CanESM2,rcp85,2048,Yes,4418,4353.9,4498.2
BAU,CanESM2,rcp85,2049,No,44.4,40,49
BAU,CanESM2,rcp85,2049,Yes,4387.4,4324,4470.2
BAU,CanESM2,rcp85,2050,No,45.3,41.1,49.8
BAU,CanESM2,rcp85,2050,Yes,4420.5,4354.8,4507.5
BAU,CanESM2,rcp85,2051,No,46.2,41.9,50.7
BAU,CanESM2,rcp85,2051,Yes,4426,4357.2,4514.8
BAU,CanESM2,rcp85,2052,No,47.1,42.6,51.4
BAU,CanESM2,rcp85,2052,Yes,4390,4321.1,4479.6
BAU,CanESM2,rcp85,2053,No,48,43.7,52.9
BAU,CanESM2,rcp85,2053,Yes,4400.9,4332.5,4493.9
BAU,CanESM2,rcp85,2054,No,48.9,44.4,53.8
BAU,CanESM2,rcp85,2054,Yes,4429.5,4360.2,4521.2
BAU,CanESM2,rcp85,2055,No,49.8,45.5,54.9
BAU,CanESM2,rcp85,2055,Yes,4462.8,4390.5,4554.3
BAU,CanESM2,rcp85,2056,No,50.7,46.5,55.8
BAU,CanESM2,rcp85,2056,Yes,4513.5,4442.1,4606.4
BAU,CanESM2,rcp85,2057,No,51.6,47,56.8
BAU,CanESM2,rcp85,2057,Yes,4508.1,4438.1,4599.7
BAU,CanESM2,rcp85,2058,No,52.6,47.8,57.7
BAU,CanESM2,rcp85,2058,Yes,4548.3,4479.8,4637.2
BAU,CanESM2,rcp85,2059,No,53.5,48.5,58.5
BAU,CanESM2,rcp85,2059,Yes,4613,4543,4700
BAU,CanESM2,rcp85,2060,No,54.4,49.8,59.3
BAU,CanESM2,rcp85,2060,Yes,4656,4587.1,4742.8
BAU,CanESM2,rcp85,2061,No,55.4,50.9,60.4
BAU,CanESM2,rcp85,2061,Yes,4585.4,4514.8,4669.2
BAU,CanESM2,rcp85,2062,No,56.3,51.6,61.7
BAU,CanESM2,rcp85,2062,Yes,4526.4,4454.1,4611.1
BAU,CanESM2,rcp85,2063,No,57.2,52.4,62.9
BAU,CanESM2,rcp85,2063,Yes,4454.8,4383.2,4538.3
BAU,CanESM2,rcp85,2064,No,58.2,53,63.7
BAU,CanESM2,rcp85,2064,Yes,4469.5,4397.5,4551
BAU,CanESM2,rcp85,2065,No,59.1,53.6,65.1
BAU,CanESM2,rcp85,2065,Yes,4541.5,4474,4620.8
